record_no,company,category,location,address,industry_group,ev_role
1,JTEKT North America Corp.,Tier 1,"Pendergrass, Hall County","301 Teco Dr, Pendergrass, GA 30567",Transportation Equipment,General Automotive
2,Kautex Inc.,Tier 1,"Lavonia, Rabun County","100 Kautex Dr, Lavonia, GA 30553",Transportation Equipment,General Automotive
3,Grudem,Tier 2/3,"Gainesville, Hall County","1245 Industrial Blvd, Gainesville, GA 30501",Machinery Except Electrical,General Automotive
4,Flambeau Inc.,Tier 2/3,"Madison, Morgan County","1330 Atlanta Highway, Madison, GA 30650",Fabricated Metal Products,General Automotive
5,Arising Industries Inc.,Tier 2/3,"Norcross, Gwinnett County","6010 Unity Dr, Norcross, GA 30071",Rubber and Miscellaneous Plastic Products,General Automotive
6,Dinex Emissions Inc.,Tier 2/3,"Dublin, Johnson County","2020 Waldrep Industrial Blvd., Dublin, GA 31021",Primary Metal Industries,General Automotive
7,ACM Georgia LLC,Tier 2/3,"Warrenton, Warren County","975 Thomson Hwy, Warrenton, GA 30828",Textile Products,General Automotive
8,Lark United Manufacturing Inc.,Tier 1,"Dublin, Johnson County","200 Industrial Blvd, Dublin, GA 31021",Transportation Equipment,General Automotive
9,FOX Factory,Tier 2/3,"Duluth, Gwinnett County","2055 Sugarloaf Circle, Suite 300, Duluth, GA 30097",Fabricated Metal Products,General Automotive
10,Fouts Brothers Fire Equipment,Tier 1/2,"Milledgeville, Baldwin County","138 Roberson Mill Rd, Milledgeville, GA 31061",Fabricated Metal Products,General Automotive
11,Ascend Elements,Tier 2/3,"Covington, Henry County","1409 Brampton Ave, Covington, GA 30014",Rubber and Miscellaneous Plastic Products,Materials
12,Aspen Aerogels,Tier 2/3,"Statesboro, Bulloch County","Statesboro, GA (planned plant—construction canceled)",Rubber and Miscellaneous Plastic Products,Materials
13,Aurubis,Tier 2/3,"Augusta, Burke County","439 Valencia Way, Augusta, GA 30906",Rubber and Miscellaneous Plastic Products,Materials
14,Dongwon Autopart Technology Georgia LLC,Tier 2/3,"Hogansville, Meriwether County","475 Meriwether Park Dr, Hogansville, GA 30230",Primary Metal Industries,General Automotive
15,Beaver Manufacturing Co. Inc.,Tier 2/3,"Mansfield, Newton County","12 Ed Needham Dr, Mansfield, GA 30055",Rubber and Miscellaneous Plastic Products,Materials
16,AVS,Tier 2/3,"Alpharetta, Forsyth County","6110 McFarland Station Dr, Alpharetta, GA 30004",Rubber and Miscellaneous Plastic Products,General Automotive
17,Blue Bird Corp.,Tier 2/3,"Fort Valley, Peach County","402 Blue Bird Blvd, Fort Valley, GA 31030",Rubber and Miscellaneous Plastic Products,Materials
18,Blue Ridge Manufacturing,Tier 2/3,"Blue Ridge, Union County","87 Tom Boyd Rd, Blue Ridge, GA 30513",Rubber and Miscellaneous Plastic Products,Materials
19,Dorsett Industries Inc.,Tier 2/3,"Dalton, Whitfield County","1304 May Street, Dalton, GA 30721",Primary Metal Industries,General Automotive
20,Boogook Industries,Tier 2/3,"Macon, Twiggs County","2600 Weaver Rd Suite 1-11, Macon, GA 31217",Rubber and Miscellaneous Plastic Products,Materials
21,Down 2 Earth Trailers,Tier 2/3,"Baxley, Appling County","1605 E Parker Street, Baxley, GA 31513",Primary Metal Industries,General Automotive
22,Bosch (Automotive Division),Tier 2/3,"Toccoa, Franklin County","1241 Meadowbrook Dr, Toccoa, GA 30577",Rubber and Miscellaneous Plastic Products,Materials
23,Bridgestone Bandag,Tier 2/3,"Griffin, Spalding County","801 Greenbelt Pkwy, Griffin, GA 30223",Rubber and Miscellaneous Plastic Products,Materials
24,Lund International Inc.,Tier 1,"Madison, Morgan County","189 Excalibur Dr, Madison, GA 30650",Transportation Equipment,General Automotive
25,Club Car LLC,Tier 2/3,"Evans, Columbia County","4125 Washington Rd, Evans, GA 30809",Rubber and Miscellaneous Plastic Products,Materials
26,Constellium Automotive USA,Tier 2/3,"Cartersville, Bartow County","1 Constellium Way, Cartersville, GA 30120",Rubber and Miscellaneous Plastic Products,Materials
27,Mack Trucks,Tier 1,"Dublin, Lowndes County","1525 Madison Hwy, Dublin, GA 31021",Transportation Equipment,General Automotive
28,Mando America Corp.,Tier 1,"Hogansville, Meriwether County","100 Mando Dr, Hogansville, GA 30230",Transportation Equipment,General Automotive
29,Big Tex Trailer Manufacturing Inc.,Tier 2/3,"Loganville, Gwinnett County","3850 Harrison Rd, Loganville, GA 30052",Rubber and Miscellaneous Plastic Products,General Automotive
30,DAEHAN Solution Georgia LLC,Tier 2/3,"Covington, Henry County","123 Industrial Blvd, Covington, GA 30014",Rubber and Miscellaneous Plastic Products,Materials
31,Daesol Ausys,Tier 2/3,"Smyrna, Cobb County","2100 Lake Park Dr SE, Smyrna, GA 30080",Rubber and Miscellaneous Plastic Products,Materials
32,Bonnell Aluminum,Tier 2/3,"Newnan, Coweta County","37 LaGrange St, Newnan, GA 30263",Rubber and Miscellaneous Plastic Products,General Automotive
33,Bosal Industries Georgia,Tier 2/3,"Lavonia, Franklin County","1 Bosal Way, Lavonia, GA 30553",Rubber and Miscellaneous Plastic Products,General Automotive
34,DAS Corp.,Tier 2/3,"Metter, Emanuel County","730 Fortner Rd, Metter, GA 30439",Rubber and Miscellaneous Plastic Products,Materials
35,Duckyang,Tier 2/3,"Braselton, Hall County","984 Broadway Avenue, Braselton, GA 30517",Primary Metal Industries,General Automotive
36,Eaton Corp.,Tier 2/3,"Athens, Clarke County","695 Indian Hills Road, Athens, GA 30601",Primary Metal Industries,General Automotive
37,MAT Heavy Duty,Tier 1,"Suwanee, Gwinnett County","555 Satellite Blvd NW, Suwanee, GA 30024",Transportation Equipment,General Automotive
38,Carcoustics USA,Tier 2/3,"Buford, Forsyth County","4740 S Lee St, Buford, GA 30518",Rubber and Miscellaneous Plastic Products,General Automotive
39,Archer Aviation Inc.,Tier 2/3,"Covington, Morgan County","2151 Centennial Pkwy NE, Covington, GA 30014",Chemicals and Allied Products,General Automotive
40,Mercedes-Benz USA LLC,Tier 1,"Sandy Springs, Fulton County","1 Mercedes-Benz Dr, Sandy Springs, GA 30328",Transportation Equipment,General Automotive
41,Ecoplastic America Corporation,Tier 2/3,"Register, Bulloch County","4800 Highway 301 S., Register, GA 30452",Primary Metal Industries,General Automotive
42,Haering Precision USA LP,Tier 2/3,"Buford, Hall County","5000 Frontage Rd, Buford, GA 30518",Machinery Except Electrical,General Automotive
43,Michelin Tread Technologies,Tier 1,"Lawrenceville, Gwinnett County","1 Parkway South Blvd, Greenville, SC 29615",Transportation Equipment,General Automotive
44,Adient,Tier 2/3,"West Point, Harris County","1700 S Progress Pkwy, West Point, GA 31833",Textile Products,General Automotive
45,Milliken & Co./Valway Plant,Tier 1,"LaGrange, Troup County","920 Milliken Rd, LaGrange, GA 30241",Transportation Equipment,General Automotive
