company_id,company_name,search_aliases,seed_row_ids,seed_locations,seed_products,seed_industries,identity_verified,facility_exposure_verified,sector_hints,southeast_georgia_seed_hint
company_fdd3fe73423e13e3b595140c,Ajin Georgia,"[""Ajin Georgia"", ""ajin georgia""]","[""gnem_row_62""]","[""Register, Bulloch County""]","[""Automobile floor coverings""]","[""Textile Products""]",False,False,"[""automotive_and_trade""]",True
company_1a42c8704adcaf70bd49cb78,Aspen Aerogels,"[""Aspen Aerogels"", ""aspen aerogels""]","[""gnem_row_13""]","[""Statesboro, Bulloch County""]","[""Gaskets, plastic precision moldings, oil seals and valve steam seals""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",True
company_c637266c7de19e629af5b867,DaeChang Seat Company,"[""DaeChang Seat Company"", ""daechang seat""]","[""gnem_row_66""]","[""Savannah, Chatham County""]","[""Foam products for the automotive industry""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",True
company_2c4b6344bfab2e8f192bfba9,Ecoplastic America Corporation,"[""Ecoplastic America Corporation"", ""ecoplastic america""]","[""gnem_row_42""]","[""Register, Bulloch County""]","[""Aluminum sheet for automotive bodies""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",True
company_79ae9d99f72979a1c1261010,Ecoplastic Corporation,"[""Ecoplastic Corporation"", ""ecoplastic""]","[""gnem_row_51""]","[""Statesboro, Bulloch County""]","[""Flexible shafts for automotive transmissions""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",True
company_c01c638d33df890a6b51cd0c,Elan Technology Inc.,"[""Elan Technology Inc."", ""elan technology""]","[""gnem_row_49""]","[""Midway, Bryan County""]","[""Single and multimode fiber cables""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",True
company_90ce15ff13f865cb62749afb,GLOVIS Georgia LLC,"[""GLOVIS Georgia LLC"", ""glovis georgia""]","[""gnem_row_83""]","[""Savannah, Bryan County""]","[""Metal parts and subassemblies for the automotive industry""]","[""Fabricated Metal Products""]",False,False,"[""automotive_and_trade"", ""metals""]",True
company_87068da9d6a4b546bd557609,Great Dane LP,"[""Great Dane LP"", ""great dane""]","[""gnem_row_141""]","[""Savannah, Chatham County""]","[""Precision metal stamping""]","[""Fabricated Metal Products""]",False,False,"[""automotive_and_trade"", ""metals""]",True
company_da9706f4b8d8a7c81d035528,Great Dane Trailers,"[""Great Dane Trailers"", ""great dane trailers""]","[""gnem_row_147""]","[""Savannah, Chatham County""]","[""Metal stampings and forklifts""]","[""Fabricated Metal Products""]",False,False,"[""automotive_and_trade"", ""metals""]",True
company_c04f33ffc5921844cc767a0a,Hyundai & LG Energy Solution (LGES),"[""Hyundai & LG Energy Solution (LGES)"", ""hyundai lg energy solution lges""]","[""gnem_row_81""]","[""Ellabell, Forsyth County""]","[""Storage batteries""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""batteries_and_minerals"", ""displays"", ""pcbs_and_electronics""]",True
company_9c033fbbbe5dd968878b7417,Hyundai Industrial Co.,"[""Hyundai Industrial Co."", ""hyundai industrial""]","[""gnem_row_94""]","[""Ellabell, Lowndes County""]","[""Automotive batteries""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",True
company_2b21c38fbded6ea1b5538a75,Hyundai Motor Group,"[""Hyundai Motor Group"", ""hyundai motor group""]","[""gnem_row_84""]","[""Ellabell, Bryan County""]","[""Battery parts for electric vehicles""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",True
company_2fc6813eb9f41f003204ef69,PHA Body Systems LLC,"[""PHA Body Systems LLC"", ""pha body systems""]","[""gnem_row_143""]","[""Bloomingdale, Bryan County""]","[""Plastic fuel tanks and sunroofs""]","[""Transportation Equipment""]",False,False,"[""automotive_and_trade""]",True
company_3d4d0f99f4974152e5c9657d,Propex Operating Co. LLC,"[""Propex Operating Co. LLC"", ""propex operating""]","[""gnem_row_128""]","[""Pooler, Bryan County""]","[""Ventvisors, hood shields, floor mats, automotive accessories""]","[""Transportation Equipment""]",False,False,"[""automotive_and_trade""]",True
company_2ca807a86c0a7e4aeb4ae014,SK Battery America,"[""SK Battery America"", ""sk battery america""]","[""gnem_row_164""]","[""Ellabell, Bryan County""]","[""Engineered steel systems mounted in motor vehicles""]","[""Transportation Equipment""]",False,False,"[""automotive_and_trade"", ""batteries_and_minerals""]",True
company_56947b6791bbd3d8817d1869,ACM Georgia LLC,"[""ACM Georgia LLC"", ""acm georgia""]","[""gnem_row_8""]","[""Warrenton, Warren County""]","[""Automotive floor mats made of purchased wire""]","[""Textile Products""]",False,False,"[""automotive_and_trade""]",False
company_39f85ab24943ff1c43fdb019,Adient,"[""Adient"", ""adient""]","[""gnem_row_45""]","[""West Point, Harris County""]","[""Backing for automotive carpets and other auto related applications""]","[""Textile Products""]",False,False,"[""automotive_and_trade""]",False
company_a1d2f17b3360077e6922a03d,ADVICS Manufacturing Georgia LLC,"[""ADVICS Manufacturing Georgia LLC"", ""advics manufacturing georgia""]","[""gnem_row_57""]","[""LaGrange, Troup County""]","[""Air bags, tire cording, performance related products""]","[""Textile Products""]",False,False,"[""automotive_and_trade""]",False
company_5d6710bbebca17301582eef6,ALBAform Inc.,"[""ALBAform Inc."", ""albaform""]","[""gnem_row_67""]","[""Flowery Branch, Forsyth County""]","[""Floor mats, trunk mats, seat covers and seat vests""]","[""Textile Products""]",False,False,"[""automotive_and_trade""]",False
company_105d9963b102a6ae236572eb,Anovion Technologies,"[""Anovion Technologies"", ""anovion technologies""]","[""gnem_row_95""]","[""Bainbridge, Decatur County""]","[""Molded floor covering, interior trim, floor mats""]","[""Textile Products""]",False,False,"[""automotive_and_trade"", ""batteries_and_minerals""]",False
company_2e20e495efaa524f3c7b4c3a,Apache Mills Inc.,"[""Apache Mills Inc."", ""apache mills""]","[""gnem_row_64""]","[""Calhoun, Forsyth County""]","[""Engine filtration papers""]","[""Paper and Allied Products""]",False,False,"[""automotive_and_trade""]",False
company_8102602c2cf120a2e06de532,Archer Aviation Inc.,"[""Archer Aviation Inc."", ""archer aviation""]","[""gnem_row_40""]","[""Covington, Morgan County""]","[""Powder coatings for automotive and other industries""]","[""Chemicals and Allied Products""]",False,False,"[""automotive_and_trade""]",False
company_2c8b7f05b5f09138866667d6,Arising Industries Inc.,"[""Arising Industries Inc."", ""arising industries""]","[""gnem_row_6"", ""gnem_row_112""]","[""Norcross, Gwinnett County""]","[""Automotive and aircraft tires"", ""Rubber powders for tires""]","[""Rubber and Miscellaneous Plastic Products"", ""Chemicals and Allied Products""]",False,False,"[""automotive_and_trade""]",False
company_36bb5b7f923c6cc0642f4aca,Ascend Elements,"[""Ascend Elements"", ""ascend elements""]","[""gnem_row_12""]","[""Covington, Henry County""]","[""Interior and exterior plastic parts""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade"", ""batteries_and_minerals""]",False
company_42975cd2568a7dcbeb7cbd98,Aurubis,"[""Aurubis"", ""aurubis""]","[""gnem_row_14""]","[""Augusta, Burke County""]","[""Automotive interior plastic parts, door trim""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_af625009d15eb10609433c7a,AVS,"[""AVS"", ""avs""]","[""gnem_row_17""]","[""Alpharetta, Forsyth County""]","[""Tires for light trucks, SUVs and commercial vehicles""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_c7297d0309518878c6b970e8,Beaver Manufacturing Co. Inc.,"[""Beaver Manufacturing Co. Inc."", ""beaver manufacturing""]","[""gnem_row_16""]","[""Mansfield, Newton County""]","[""Plastic valves""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_17d2a2419c972bbfbd0d3c66,Big Tex Trailer Manufacturing Inc.,"[""Big Tex Trailer Manufacturing Inc."", ""big tex trailer manufacturing""]","[""gnem_row_30""]","[""Loganville, Gwinnett County""]","[""Tires for light trucks, SUVs and commercial vehicles""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_7401d56b17c5cd19433e6b12,Blue Bird Corp.,"[""Blue Bird Corp."", ""blue bird""]","[""gnem_row_18""]","[""Fort Valley, Peach County""]","[""Plastic interior assemblies for the auto industry""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_22670a5f0b194d8bd2c5eb74,Blue Ridge Manufacturing,"[""Blue Ridge Manufacturing"", ""blue ridge manufacturing""]","[""gnem_row_19""]","[""Blue Ridge, Union County""]","[""Plastic and metal fasteners and precision strings for automotive industry""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_d34cd4f09e41e0c33dd7091f,Bonnell Aluminum,"[""Bonnell Aluminum"", ""bonnell aluminum""]","[""gnem_row_33""]","[""Newnan, Coweta County""]","[""Rubber oil seals""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_c5335f42ecc83c2a03899ecb,Boogook Industries,"[""Boogook Industries"", ""boogook industries""]","[""gnem_row_21""]","[""Macon, Twiggs County""]","[""Plastic injection gear wheels""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_0d0c7e1f704d4df061e129a4,Bosal Industries Georgia,"[""Bosal Industries Georgia"", ""bosal industries georgia""]","[""gnem_row_34""]","[""Lavonia, Franklin County""]","[""Tires for cars, trucks and motorcycles""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_c5fcc97bfb2974073676415c,Bosch (Automotive Division),"[""Bosch (Automotive Division)"", ""bosch automotive division""]","[""gnem_row_23""]","[""Toccoa, Franklin County""]","[""Custom injection molded plastic products for the automotive industry and other industries""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_ae431317033c698ebc8dbdc9,Bridgestone Bandag,"[""Bridgestone Bandag"", ""bridgestone bandag""]","[""gnem_row_24""]","[""Griffin, Spalding County""]","[""Composite materials and specialty polymers for automotive components""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_554a225e8185b55b8a0a41bd,Carcoustics USA,"[""Carcoustics USA"", ""carcoustics usa""]","[""gnem_row_39""]","[""Buford, Forsyth County""]","[""Tires for light trucks, SUVs and commercial vehicles""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_9f7649ab93e553fce03a0293,Club Car LLC,"[""Club Car LLC"", ""club car""]","[""gnem_row_26""]","[""Evans, Columbia County""]","[""Injection molded plastic automotive parts""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_80c510ece7aa44948187d533,Constellium Automotive USA,"[""Constellium Automotive USA"", ""constellium automotive usa""]","[""gnem_row_27""]","[""Cartersville, Bartow County""]","[""Motor vehicle plastic fuel systems and parts""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_fc7c935e96c630b5d97e68a4,Continental Automotive,"[""Continental Automotive"", ""continental automotive""]","[""gnem_row_50""]","[""Fairburn, Fayette County""]","[""Rubber silicone molded components for medical, automotive, and industrial use""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_9e5f148c5a229152f328fcb1,Continental Tire the Americas LLC,"[""Continental Tire the Americas LLC"", ""continental tire the americas""]","[""gnem_row_60""]","[""Barnesville, Lamar County""]","[""Automotive gaskets and parts, protective film applications""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_85bc0be08bc4340515f23feb,DAEHAN Solution Georgia LLC,"[""DAEHAN Solution Georgia LLC"", ""daehan solution georgia""]","[""gnem_row_31""]","[""Covington, Henry County""]","[""Chemically treated industrial yarns Rubber compounds for tires, mining conveyor belts, automotive floor mats, and windshield wiper blades""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_95301b2e6722331d5c2f845b,Daesol Ausys,"[""Daesol Ausys"", ""daesol ausys""]","[""gnem_row_32""]","[""Smyrna, Cobb County""]","[""High-precision engineered plastic products for the automotive industry""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_afab7be1621b5bafcfb7f0b4,"Daesol Material Georgia, LLC","[""Daesol Material Georgia, LLC"", ""daesol material georgia""]","[""gnem_row_82""]","[""Duluth, Gwinnett County""]","[""Tires""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_8d42c7988edcfa40dca2f234,Daimler Truck North America,"[""Daimler Truck North America"", ""daimler truck north america""]","[""gnem_row_86""]","[""Covington, Henry County""]","[""Pre-molded tire treads""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_0493452f9eb077afb0f244bd,DAS Corp.,"[""DAS Corp."", ""das""]","[""gnem_row_35""]","[""Metter, Emanuel County""]","[""Automotive plastic coatings""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_90866fc8cf495eea5d2f62ee,Decostar Industries,"[""Decostar Industries"", ""decostar industries""]","[""gnem_row_104""]","[""Buchanan, Polk County""]","[""Black and color elastomeric compounding""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_a67cb8fe187afc2e4991e639,DeKalb Tool & Die Inc.,"[""DeKalb Tool & Die Inc."", ""dekalb tool die""]","[""gnem_row_115""]","[""Tucker, Gwinnett County""]","[""Truck interior cab components and exterior lights to HVAC and under the hood engine parts""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_15be2d53cdedc8bb7d9f1da8,Denkai America,"[""Denkai America"", ""denkai america""]","[""gnem_row_161""]","[""Augusta, Richmond County""]","[""Custom injection molded components for the automotive industry""]","[""Rubber and Miscellaneous Plastic Products""]",False,False,"[""automotive_and_trade""]",False
company_5b628ee8f4aa57a92808347b,Denso Manufacturing Georgia,"[""Denso Manufacturing Georgia"", ""denso manufacturing georgia""]","[""gnem_row_71""]","[""Pendergrass, Hall County""]","[""Custom-designed shot peening and surface preparation surfaces""]","[""Stone, Clay, Glass and Concrete Products""]",False,False,"[""automotive_and_trade""]",False
