id,query,company_id,company_name,company_aliases,seed_row_ids,query_purpose,sector_terms,reason,parent_query_ids,include_domains
company_fdd3fe73423e13e3b595140c_discovery,"""Ajin Georgia"" Georgia tariffs import duties supply chain",company_fdd3fe73423e13e3b595140c,Ajin Georgia,"[""Ajin Georgia"", ""ajin georgia""]","[""gnem_row_62""]",company_discovery,automotive vehicles auto parts,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_fdd3fe73423e13e3b595140c_targeted,"""Ajin Georgia"" automotive vehicles auto parts tariffs cost sourcing country of origin 2026",company_fdd3fe73423e13e3b595140c,Ajin Georgia,"[""Ajin Georgia"", ""ajin georgia""]","[""gnem_row_62""]",company_targeted,automotive vehicles auto parts,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_1a42c8704adcaf70bd49cb78_discovery,"""Aspen Aerogels"" Georgia tariffs import duties supply chain",company_1a42c8704adcaf70bd49cb78,Aspen Aerogels,"[""Aspen Aerogels"", ""aspen aerogels""]","[""gnem_row_13""]",company_discovery,automotive vehicles auto parts,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_1a42c8704adcaf70bd49cb78_targeted,"""Aspen Aerogels"" automotive vehicles auto parts tariffs cost sourcing country of origin 2026",company_1a42c8704adcaf70bd49cb78,Aspen Aerogels,"[""Aspen Aerogels"", ""aspen aerogels""]","[""gnem_row_13""]",company_targeted,automotive vehicles auto parts,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_c637266c7de19e629af5b867_discovery,"""DaeChang Seat Company"" Georgia tariffs import duties supply chain",company_c637266c7de19e629af5b867,DaeChang Seat Company,"[""DaeChang Seat Company"", ""daechang seat""]","[""gnem_row_66""]",company_discovery,automotive vehicles auto parts,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_c637266c7de19e629af5b867_targeted,"""DaeChang Seat Company"" automotive vehicles auto parts tariffs cost sourcing country of origin 2026",company_c637266c7de19e629af5b867,DaeChang Seat Company,"[""DaeChang Seat Company"", ""daechang seat""]","[""gnem_row_66""]",company_targeted,automotive vehicles auto parts,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_2c4b6344bfab2e8f192bfba9_discovery,"""Ecoplastic America Corporation"" Georgia tariffs import duties supply chain",company_2c4b6344bfab2e8f192bfba9,Ecoplastic America Corporation,"[""Ecoplastic America Corporation"", ""ecoplastic america""]","[""gnem_row_42""]",company_discovery,automotive vehicles auto parts steel aluminum copper tariffs,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_2c4b6344bfab2e8f192bfba9_targeted,"""Ecoplastic America Corporation"" automotive vehicles auto parts steel aluminum copper tariffs tariffs cost sourcing country of origin 2026",company_2c4b6344bfab2e8f192bfba9,Ecoplastic America Corporation,"[""Ecoplastic America Corporation"", ""ecoplastic america""]","[""gnem_row_42""]",company_targeted,automotive vehicles auto parts steel aluminum copper tariffs,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_79ae9d99f72979a1c1261010_discovery,"""Ecoplastic Corporation"" Georgia tariffs import duties supply chain",company_79ae9d99f72979a1c1261010,Ecoplastic Corporation,"[""Ecoplastic Corporation"", ""ecoplastic""]","[""gnem_row_51""]",company_discovery,automotive vehicles auto parts steel aluminum copper tariffs,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_79ae9d99f72979a1c1261010_targeted,"""Ecoplastic Corporation"" automotive vehicles auto parts steel aluminum copper tariffs tariffs cost sourcing country of origin 2026",company_79ae9d99f72979a1c1261010,Ecoplastic Corporation,"[""Ecoplastic Corporation"", ""ecoplastic""]","[""gnem_row_51""]",company_targeted,automotive vehicles auto parts steel aluminum copper tariffs,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_c01c638d33df890a6b51cd0c_discovery,"""Elan Technology Inc."" Georgia tariffs import duties supply chain",company_c01c638d33df890a6b51cd0c,Elan Technology Inc.,"[""Elan Technology Inc."", ""elan technology""]","[""gnem_row_49""]",company_discovery,automotive vehicles auto parts steel aluminum copper tariffs,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_c01c638d33df890a6b51cd0c_targeted,"""Elan Technology Inc."" automotive vehicles auto parts steel aluminum copper tariffs tariffs cost sourcing country of origin 2026",company_c01c638d33df890a6b51cd0c,Elan Technology Inc.,"[""Elan Technology Inc."", ""elan technology""]","[""gnem_row_49""]",company_targeted,automotive vehicles auto parts steel aluminum copper tariffs,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_90ce15ff13f865cb62749afb_discovery,"""GLOVIS Georgia LLC"" Georgia tariffs import duties supply chain",company_90ce15ff13f865cb62749afb,GLOVIS Georgia LLC,"[""GLOVIS Georgia LLC"", ""glovis georgia""]","[""gnem_row_83""]",company_discovery,automotive vehicles auto parts steel aluminum copper tariffs,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_90ce15ff13f865cb62749afb_targeted,"""GLOVIS Georgia LLC"" automotive vehicles auto parts steel aluminum copper tariffs tariffs cost sourcing country of origin 2026",company_90ce15ff13f865cb62749afb,GLOVIS Georgia LLC,"[""GLOVIS Georgia LLC"", ""glovis georgia""]","[""gnem_row_83""]",company_targeted,automotive vehicles auto parts steel aluminum copper tariffs,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_87068da9d6a4b546bd557609_discovery,"""Great Dane LP"" Georgia tariffs import duties supply chain",company_87068da9d6a4b546bd557609,Great Dane LP,"[""Great Dane LP"", ""great dane""]","[""gnem_row_141""]",company_discovery,automotive vehicles auto parts steel aluminum copper tariffs,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_87068da9d6a4b546bd557609_targeted,"""Great Dane LP"" automotive vehicles auto parts steel aluminum copper tariffs tariffs cost sourcing country of origin 2026",company_87068da9d6a4b546bd557609,Great Dane LP,"[""Great Dane LP"", ""great dane""]","[""gnem_row_141""]",company_targeted,automotive vehicles auto parts steel aluminum copper tariffs,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_da9706f4b8d8a7c81d035528_discovery,"""Great Dane Trailers"" Georgia tariffs import duties supply chain",company_da9706f4b8d8a7c81d035528,Great Dane Trailers,"[""Great Dane Trailers"", ""great dane trailers""]","[""gnem_row_147""]",company_discovery,automotive vehicles auto parts steel aluminum copper tariffs,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_da9706f4b8d8a7c81d035528_targeted,"""Great Dane Trailers"" automotive vehicles auto parts steel aluminum copper tariffs tariffs cost sourcing country of origin 2026",company_da9706f4b8d8a7c81d035528,Great Dane Trailers,"[""Great Dane Trailers"", ""great dane trailers""]","[""gnem_row_147""]",company_targeted,automotive vehicles auto parts steel aluminum copper tariffs,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_c04f33ffc5921844cc767a0a_discovery,"""Hyundai & LG Energy Solution (LGES)"" Georgia tariffs import duties supply chain",company_c04f33ffc5921844cc767a0a,Hyundai & LG Energy Solution (LGES),"[""Hyundai & LG Energy Solution (LGES)"", ""hyundai lg energy solution lges""]","[""gnem_row_81""]",company_discovery,batteries critical minerals lithium graphite LCD OLED displays PCBs printed circuit boards electronics,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_c04f33ffc5921844cc767a0a_targeted,"""Hyundai & LG Energy Solution (LGES)"" batteries critical minerals lithium graphite LCD OLED displays PCBs printed circuit boards electronics tariffs cost sourcing country of origin 2026",company_c04f33ffc5921844cc767a0a,Hyundai & LG Energy Solution (LGES),"[""Hyundai & LG Energy Solution (LGES)"", ""hyundai lg energy solution lges""]","[""gnem_row_81""]",company_targeted,batteries critical minerals lithium graphite LCD OLED displays PCBs printed circuit boards electronics,Collect company-named evidence; seed product/location labels are unverified.,[],[]
company_9c033fbbbe5dd968878b7417_discovery,"""Hyundai Industrial Co."" Georgia tariffs import duties supply chain",company_9c033fbbbe5dd968878b7417,Hyundai Industrial Co.,"[""Hyundai Industrial Co."", ""hyundai industrial""]","[""gnem_row_94""]",company_discovery,LCD OLED displays PCBs printed circuit boards electronics,Collect company-named evidence; seed product/location labels are unverified.,[],[]
