company_id,company_name,full_text_scan_completed,matching_windows,tariff_windows,selected_windows,unreviewed_windows
company_fdd3fe73423e13e3b595140c,Ajin Georgia,True,433,3,6,427
company_1a42c8704adcaf70bd49cb78,Aspen Aerogels,True,8,2,6,2
company_c637266c7de19e629af5b867,DaeChang Seat Company,True,27,9,6,21
company_2c4b6344bfab2e8f192bfba9,Ecoplastic America Corporation,True,36,0,6,30
company_79ae9d99f72979a1c1261010,Ecoplastic Corporation,True,20,0,6,14
company_c01c638d33df890a6b51cd0c,Elan Technology Inc.,True,5,0,4,1
company_90ce15ff13f865cb62749afb,GLOVIS Georgia LLC,True,37,12,6,31
company_87068da9d6a4b546bd557609,Great Dane LP,True,16,11,6,10
company_da9706f4b8d8a7c81d035528,Great Dane Trailers,True,1,0,1,0
company_c04f33ffc5921844cc767a0a,Hyundai & LG Energy Solution (LGES),True,1,0,1,0
company_9c033fbbbe5dd968878b7417,Hyundai Industrial Co.,True,3,0,3,0
company_2b21c38fbded6ea1b5538a75,Hyundai Motor Group,True,122,51,6,116
company_2fc6813eb9f41f003204ef69,PHA Body Systems LLC,True,4,0,4,0
company_3d4d0f99f4974152e5c9657d,Propex Operating Co. LLC,True,4,0,3,1
company_2ca807a86c0a7e4aeb4ae014,SK Battery America,True,8,0,6,2
company_56947b6791bbd3d8817d1869,ACM Georgia LLC,True,2,0,2,0
company_39f85ab24943ff1c43fdb019,Adient,True,3,2,3,0
company_a1d2f17b3360077e6922a03d,ADVICS Manufacturing Georgia LLC,True,5,1,4,1
company_5d6710bbebca17301582eef6,ALBAform Inc.,True,29,0,6,23
company_105d9963b102a6ae236572eb,Anovion Technologies,True,30,20,6,24
company_2e20e495efaa524f3c7b4c3a,Apache Mills Inc.,True,3,0,2,1
company_8102602c2cf120a2e06de532,Archer Aviation Inc.,True,281,3,4,277
company_2c8b7f05b5f09138866667d6,Arising Industries Inc.,True,87,17,6,81
company_36bb5b7f923c6cc0642f4aca,Ascend Elements,True,34,18,6,28
company_42975cd2568a7dcbeb7cbd98,Aurubis,True,59,9,6,53
company_af625009d15eb10609433c7a,AVS,True,0,0,0,0
company_c7297d0309518878c6b970e8,Beaver Manufacturing Co. Inc.,True,17,4,5,12
company_17d2a2419c972bbfbd0d3c66,Big Tex Trailer Manufacturing Inc.,True,1,0,1,0
company_7401d56b17c5cd19433e6b12,Blue Bird Corp.,True,29,5,6,23
company_22670a5f0b194d8bd2c5eb74,Blue Ridge Manufacturing,True,1,0,1,0
company_d34cd4f09e41e0c33dd7091f,Bonnell Aluminum,True,8,6,6,2
company_c5335f42ecc83c2a03899ecb,Boogook Industries,True,1,0,1,0
company_0d0c7e1f704d4df061e129a4,Bosal Industries Georgia,True,0,0,0,0
company_c5fcc97bfb2974073676415c,Bosch (Automotive Division),True,20,11,6,14
company_ae431317033c698ebc8dbdc9,Bridgestone Bandag,True,12,10,6,6
company_554a225e8185b55b8a0a41bd,Carcoustics USA,True,2,0,2,0
company_9f7649ab93e553fce03a0293,Club Car LLC,True,55,40,6,49
company_80c510ece7aa44948187d533,Constellium Automotive USA,True,9,2,6,3
company_fc7c935e96c630b5d97e68a4,Continental Automotive,True,32,17,6,26
company_9e5f148c5a229152f328fcb1,Continental Tire the Americas LLC,True,33,17,6,27
company_85bc0be08bc4340515f23feb,DAEHAN Solution Georgia LLC,True,11,0,6,5
company_95301b2e6722331d5c2f845b,Daesol Ausys,True,33,0,6,27
company_afab7be1621b5bafcfb7f0b4,"Daesol Material Georgia, LLC",True,30,0,6,24
company_8d42c7988edcfa40dca2f234,Daimler Truck North America,True,30,20,6,24
company_0493452f9eb077afb0f244bd,DAS Corp.,True,0,0,0,0
company_90866fc8cf495eea5d2f62ee,Decostar Industries,True,25,12,4,21
company_a67cb8fe187afc2e4991e639,DeKalb Tool & Die Inc.,True,7,0,4,3
company_15be2d53cdedc8bb7d9f1da8,Denkai America,True,0,0,0,0
company_5b628ee8f4aa57a92808347b,Denso Manufacturing Georgia,True,20,17,6,14
company_89c7fb4ea40a16de2124266e,Die-Tech Industries Inc.,True,2,0,2,0
company_8c24996dab6424ef3a7a1d2c,Dinex Emissions Inc.,True,31,17,4,27
company_e4034603e2ef1f2c82e9bef8,Dongwon Autopart Technology Georgia LLC,True,4,1,3,1
company_9ddeeb9ac201aee6620312ef,Dorsett Industries Inc.,True,5,0,4,1
