company_id,company_name,seed_row_ids,seed_locations,sector_hints_unverified,evidence_status,source_reported_effect_claims,response_or_opinion_claims,company_context_claims,group_context_claims,unverified_leads,rejected_company_links,full_text_named_tariff_claims,web_queries_completed,web_queries_planned,current_policy_verified,facility_exposure_verified,profile_path
company_fdd3fe73423e13e3b595140c,Ajin Georgia,"[""gnem_row_62""]","[""Register, Bulloch County""]","[""automotive_and_trade""]",company_context_only,0,0,14,0,0,0,0,2,2,False,False,companies/company_fdd3fe73423e13e3b595140c.md
company_1a42c8704adcaf70bd49cb78,Aspen Aerogels,"[""gnem_row_13""]","[""Statesboro, Bulloch County""]","[""automotive_and_trade""]",company_context_only,0,0,1,0,0,0,0,2,2,False,False,companies/company_1a42c8704adcaf70bd49cb78.md
company_c637266c7de19e629af5b867,DaeChang Seat Company,"[""gnem_row_66""]","[""Savannah, Chatham County""]","[""automotive_and_trade""]",company_context_only,0,0,11,1,0,0,0,2,2,False,False,companies/company_c637266c7de19e629af5b867.md
company_2c4b6344bfab2e8f192bfba9,Ecoplastic America Corporation,"[""gnem_row_42""]","[""Register, Bulloch County""]","[""automotive_and_trade"", ""metals""]",company_context_only,0,0,6,0,0,0,0,2,2,False,False,companies/company_2c4b6344bfab2e8f192bfba9.md
company_79ae9d99f72979a1c1261010,Ecoplastic Corporation,"[""gnem_row_51""]","[""Statesboro, Bulloch County""]","[""automotive_and_trade"", ""metals""]",company_context_only,0,0,18,0,0,0,0,2,2,False,False,companies/company_79ae9d99f72979a1c1261010.md
company_c01c638d33df890a6b51cd0c,Elan Technology Inc.,"[""gnem_row_49""]","[""Midway, Bryan County""]","[""automotive_and_trade"", ""metals""]",company_context_only,0,0,1,0,0,0,0,2,2,False,False,companies/company_c01c638d33df890a6b51cd0c.md
company_90ce15ff13f865cb62749afb,GLOVIS Georgia LLC,"[""gnem_row_83""]","[""Savannah, Bryan County""]","[""automotive_and_trade"", ""metals""]",group_context_only,0,0,0,2,0,0,0,2,2,False,False,companies/company_90ce15ff13f865cb62749afb.md
company_87068da9d6a4b546bd557609,Great Dane LP,"[""gnem_row_141""]","[""Savannah, Chatham County""]","[""automotive_and_trade"", ""metals""]",company_tariff_response_or_opinion,0,3,4,0,1,0,2,2,2,False,False,companies/company_87068da9d6a4b546bd557609.md
company_da9706f4b8d8a7c81d035528,Great Dane Trailers,"[""gnem_row_147""]","[""Savannah, Chatham County""]","[""automotive_and_trade"", ""metals""]",no_usable_company_evidence,0,0,0,0,0,0,0,2,2,False,False,companies/company_da9706f4b8d8a7c81d035528.md
company_c04f33ffc5921844cc767a0a,Hyundai & LG Energy Solution (LGES),"[""gnem_row_81""]","[""Ellabell, Forsyth County""]","[""batteries_and_minerals"", ""displays"", ""pcbs_and_electronics""]",group_context_only,0,0,0,118,0,0,0,2,2,False,False,companies/company_c04f33ffc5921844cc767a0a.md
company_9c033fbbbe5dd968878b7417,Hyundai Industrial Co.,"[""gnem_row_94""]","[""Ellabell, Lowndes County""]","[""displays"", ""pcbs_and_electronics""]",company_context_only,0,0,8,118,0,0,0,2,2,False,False,companies/company_9c033fbbbe5dd968878b7417.md
company_2b21c38fbded6ea1b5538a75,Hyundai Motor Group,"[""gnem_row_84""]","[""Ellabell, Bryan County""]","[""displays"", ""pcbs_and_electronics""]",company_tariff_response_or_opinion,0,5,77,106,5,0,2,2,2,False,False,companies/company_2b21c38fbded6ea1b5538a75.md
company_2fc6813eb9f41f003204ef69,PHA Body Systems LLC,"[""gnem_row_143""]","[""Bloomingdale, Bryan County""]","[""automotive_and_trade""]",company_context_only,0,0,2,0,0,0,0,2,2,False,False,companies/company_2fc6813eb9f41f003204ef69.md
company_3d4d0f99f4974152e5c9657d,Propex Operating Co. LLC,"[""gnem_row_128""]","[""Pooler, Bryan County""]","[""automotive_and_trade""]",company_context_only,0,0,1,0,0,0,0,2,2,False,False,companies/company_3d4d0f99f4974152e5c9657d.md
company_2ca807a86c0a7e4aeb4ae014,SK Battery America,"[""gnem_row_164""]","[""Ellabell, Bryan County""]","[""automotive_and_trade"", ""batteries_and_minerals""]",company_context_only,0,0,6,0,0,0,0,2,2,False,False,companies/company_2ca807a86c0a7e4aeb4ae014.md
company_56947b6791bbd3d8817d1869,ACM Georgia LLC,"[""gnem_row_8""]","[""Warrenton, Warren County""]","[""automotive_and_trade""]",no_usable_company_evidence,0,0,0,0,0,0,0,2,2,False,False,companies/company_56947b6791bbd3d8817d1869.md
company_39f85ab24943ff1c43fdb019,Adient,"[""gnem_row_45""]","[""West Point, Harris County""]","[""automotive_and_trade""]",source_reported_company_tariff_effect,2,0,0,0,1,0,2,2,2,False,False,companies/company_39f85ab24943ff1c43fdb019.md
company_a1d2f17b3360077e6922a03d,ADVICS Manufacturing Georgia LLC,"[""gnem_row_57""]","[""LaGrange, Troup County""]","[""automotive_and_trade""]",company_context_only,0,0,1,0,0,0,0,2,2,False,False,companies/company_a1d2f17b3360077e6922a03d.md
company_5d6710bbebca17301582eef6,ALBAform Inc.,"[""gnem_row_67""]","[""Flowery Branch, Forsyth County""]","[""automotive_and_trade""]",company_context_only,0,0,1,0,0,0,0,2,2,False,False,companies/company_5d6710bbebca17301582eef6.md
company_105d9963b102a6ae236572eb,Anovion Technologies,"[""gnem_row_95""]","[""Bainbridge, Decatur County""]","[""automotive_and_trade"", ""batteries_and_minerals""]",company_context_only,0,0,14,1,0,0,0,2,2,False,False,companies/company_105d9963b102a6ae236572eb.md
company_2e20e495efaa524f3c7b4c3a,Apache Mills Inc.,"[""gnem_row_64""]","[""Calhoun, Forsyth County""]","[""automotive_and_trade""]",no_usable_company_evidence,0,0,0,0,0,0,0,2,2,False,False,companies/company_2e20e495efaa524f3c7b4c3a.md
company_8102602c2cf120a2e06de532,Archer Aviation Inc.,"[""gnem_row_40""]","[""Covington, Morgan County""]","[""automotive_and_trade""]",company_context_only,0,0,7,0,0,0,0,2,2,False,False,companies/company_8102602c2cf120a2e06de532.md
company_2c8b7f05b5f09138866667d6,Arising Industries Inc.,"[""gnem_row_6"", ""gnem_row_112""]","[""Norcross, Gwinnett County""]","[""automotive_and_trade""]",group_context_only,0,0,0,2,0,0,0,2,2,False,False,companies/company_2c8b7f05b5f09138866667d6.md
company_36bb5b7f923c6cc0642f4aca,Ascend Elements,"[""gnem_row_12""]","[""Covington, Henry County""]","[""automotive_and_trade"", ""batteries_and_minerals""]",company_tariff_response_or_opinion,0,2,8,0,1,0,1,2,2,False,False,companies/company_36bb5b7f923c6cc0642f4aca.md
company_42975cd2568a7dcbeb7cbd98,Aurubis,"[""gnem_row_14""]","[""Augusta, Burke County""]","[""automotive_and_trade""]",company_tariff_response_or_opinion,0,1,6,0,0,0,0,2,2,False,False,companies/company_42975cd2568a7dcbeb7cbd98.md
company_af625009d15eb10609433c7a,AVS,"[""gnem_row_17""]","[""Alpharetta, Forsyth County""]","[""automotive_and_trade""]",no_usable_company_evidence,0,0,0,0,0,0,0,2,2,False,False,companies/company_af625009d15eb10609433c7a.md
company_c7297d0309518878c6b970e8,Beaver Manufacturing Co. Inc.,"[""gnem_row_16""]","[""Mansfield, Newton County""]","[""automotive_and_trade""]",company_context_only,0,0,1,0,0,0,0,2,2,False,False,companies/company_c7297d0309518878c6b970e8.md
company_17d2a2419c972bbfbd0d3c66,Big Tex Trailer Manufacturing Inc.,"[""gnem_row_30""]","[""Loganville, Gwinnett County""]","[""automotive_and_trade""]",no_usable_company_evidence,0,0,0,0,0,0,0,2,2,False,False,companies/company_17d2a2419c972bbfbd0d3c66.md
company_7401d56b17c5cd19433e6b12,Blue Bird Corp.,"[""gnem_row_18""]","[""Fort Valley, Peach County""]","[""automotive_and_trade""]",company_context_only,0,0,3,0,0,0,0,2,2,False,False,companies/company_7401d56b17c5cd19433e6b12.md
