seed_row_id,worksheet_row,company_id,source_sheet,seed,seed_fields_verified,issues
gnem_row_2,2,company_51acf7e91bf99d07602b0a15,Sheet1,"{""Company"": ""JTEKT North America Corp."", ""Category"": ""Tier 1"", ""Industry Group"": "" Transportation Equipment"", ""Location"": ""Pendergrass, Hall County"", ""Address"": ""301 Teco Dr, Pendergrass, GA 30567"", ""Latitude"": 34.130329, ""Longitude"": -83.7648529, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 860, ""Product / Service"": ""Vehicle roofing systems"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Hall"", ""local_reference_county"": ""Jackson"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_3,3,company_7959438dbd42735054f1a7a4,Sheet1,"{""Company"": ""Kautex Inc."", ""Category"": ""Tier 1"", ""Industry Group"": "" Transportation Equipment"", ""Location"": ""Lavonia, Rabun County"", ""Address"": ""100 Kautex Dr, Lavonia, GA 30553"", ""Latitude"": 34.968226, ""Longitude"": -83.490631, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 800, ""Product / Service"": ""Automotive exterior and interior systems"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Rabun"", ""local_reference_county"": ""Franklin/Hart"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_7,7,company_8c24996dab6424ef3a7a1d2c,Sheet1,"{""Company"": ""Dinex Emissions Inc."", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Primary Metal Industries"", ""Location"": ""Dublin, Johnson County"", ""Address"": ""2020 Waldrep Industrial Blvd., Dublin, GA 31021"", ""Latitude"": 32.5138588, ""Longitude"": -82.9469249, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 500, ""Product / Service"": ""Aluminum sheet for automotive bodies"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Johnson"", ""local_reference_county"": ""Laurens"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_9,9,company_9c755b1461327a4d399720e7,Sheet1,"{""Company"": ""Lark United Manufacturing Inc."", ""Category"": ""Tier 1"", ""Industry Group"": "" Transportation Equipment"", ""Location"": ""Dublin, Johnson County"", ""Address"": ""200 Industrial Blvd, Dublin, GA 31021"", ""Latitude"": 32.5320682, ""Longitude"": -82.950167, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 700, ""Product / Service"": ""Motor vehicle transmissions"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Johnson"", ""local_reference_county"": ""Laurens"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_12,12,company_36bb5b7f923c6cc0642f4aca,Sheet1,"{""Company"": ""Ascend Elements"", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Rubber and Miscellaneous Plastic Products"", ""Location"": ""Covington, Henry County"", ""Address"": ""1409 Brampton Ave, Covington, GA 30014"", ""Latitude"": 33.3390858, ""Longitude"": -84.1874153, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""Materials"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 456, ""Product / Service"": ""Interior and exterior plastic parts"", ""EV / Battery Relevant"": ""No"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Henry"", ""local_reference_county"": ""Newton"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_14,14,company_42975cd2568a7dcbeb7cbd98,Sheet1,"{""Company"": ""Aurubis"", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Rubber and Miscellaneous Plastic Products"", ""Location"": ""Augusta, Burke County"", ""Address"": ""439 Valencia Way, Augusta, GA 30906"", ""Latitude"": 33.282551, ""Longitude"": -81.955757, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""Materials"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 400, ""Product / Service"": ""Automotive interior plastic parts, door trim"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Burke"", ""local_reference_county"": ""Richmond"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_15,15,company_e4034603e2ef1f2c82e9bef8,Sheet1,"{""Company"": ""Dongwon Autopart Technology Georgia LLC"", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Primary Metal Industries"", ""Location"": ""Hogansville, Meriwether County"", ""Address"": ""475 Meriwether Park Dr, Hogansville, GA 30230"", ""Latitude"": 33.1644618, ""Longitude"": -84.8598158, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 315, ""Product / Service"": ""Aluminum extrusions"", ""EV / Battery Relevant"": ""No"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Meriwether"", ""local_reference_county"": ""Troup"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_17,17,company_af625009d15eb10609433c7a,Sheet1,"{""Company"": ""AVS"", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Rubber and Miscellaneous Plastic Products"", ""Location"": ""Alpharetta, Forsyth County"", ""Address"": ""6110 McFarland Station Dr, Alpharetta, GA 30004 "", ""Latitude"": 34.134562, ""Longitude"": -84.252772, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 310, ""Product / Service"": ""Tires for light trucks, SUVs and commercial vehicles"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Forsyth"", ""local_reference_county"": ""Fulton"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_19,19,company_22670a5f0b194d8bd2c5eb74,Sheet1,"{""Company"": ""Blue Ridge Manufacturing"", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Rubber and Miscellaneous Plastic Products"", ""Location"": ""Blue Ridge, Union County"", ""Address"": ""87 Tom Boyd Rd, Blue Ridge, GA 30513"", ""Latitude"": 34.8963485, ""Longitude"": -84.094162, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""Materials"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 270, ""Product / Service"": ""Plastic and metal fasteners and precision strings for automotive industry"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Union"", ""local_reference_county"": ""Fannin"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_21,21,company_c5335f42ecc83c2a03899ecb,Sheet1,"{""Company"": ""Boogook Industries"", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Rubber and Miscellaneous Plastic Products"", ""Location"": ""Macon, Twiggs County"", ""Address"": ""2600 Weaver Rd Suite 1-11, Macon, GA 31217"", ""Latitude"": 32.8141689, ""Longitude"": -83.5566387, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""Materials"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 250, ""Product / Service"": ""Plastic injection gear wheels"", ""EV / Battery Relevant"": ""No"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Twiggs"", ""local_reference_county"": ""Bibb"", ""action"": ""verify_external_source; do not overwrite seed""}]"
