query_id,original_id,original_query,input_row,duplicate_of,sectors,geography,labels_basis,parent_query_id,expansion_reason,parent_query_ids,company_id,company_name,company_aliases,seed_row_ids,query_purpose,sector_terms,include_domains
q_company_fdd3fe73423e13e3b595140c_discovery,company_fdd3fe73423e13e3b595140c_discovery,"""Ajin Georgia"" Georgia tariffs import duties supply chain",2,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,Collect company-named evidence; seed product/location labels are unverified.,[],company_fdd3fe73423e13e3b595140c,Ajin Georgia,"[""Ajin Georgia"", ""ajin georgia""]","[""gnem_row_62""]",company_discovery,automotive vehicles auto parts,[]
q_company_fdd3fe73423e13e3b595140c_targeted,company_fdd3fe73423e13e3b595140c_targeted,"""Ajin Georgia"" automotive vehicles auto parts tariffs cost sourcing country of origin 2026",3,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,Collect company-named evidence; seed product/location labels are unverified.,[],company_fdd3fe73423e13e3b595140c,Ajin Georgia,"[""Ajin Georgia"", ""ajin georgia""]","[""gnem_row_62""]",company_targeted,automotive vehicles auto parts,[]
q_company_1a42c8704adcaf70bd49cb78_discovery,company_1a42c8704adcaf70bd49cb78_discovery,"""Aspen Aerogels"" Georgia tariffs import duties supply chain",4,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,Collect company-named evidence; seed product/location labels are unverified.,[],company_1a42c8704adcaf70bd49cb78,Aspen Aerogels,"[""Aspen Aerogels"", ""aspen aerogels""]","[""gnem_row_13""]",company_discovery,automotive vehicles auto parts,[]
q_company_1a42c8704adcaf70bd49cb78_targeted,company_1a42c8704adcaf70bd49cb78_targeted,"""Aspen Aerogels"" automotive vehicles auto parts tariffs cost sourcing country of origin 2026",5,,"[""automotive_and_trade""]",national_international_context,query_text_only,,Collect company-named evidence; seed product/location labels are unverified.,[],company_1a42c8704adcaf70bd49cb78,Aspen Aerogels,"[""Aspen Aerogels"", ""aspen aerogels""]","[""gnem_row_13""]",company_targeted,automotive vehicles auto parts,[]
q_company_c637266c7de19e629af5b867_discovery,company_c637266c7de19e629af5b867_discovery,"""DaeChang Seat Company"" Georgia tariffs import duties supply chain",6,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,Collect company-named evidence; seed product/location labels are unverified.,[],company_c637266c7de19e629af5b867,DaeChang Seat Company,"[""DaeChang Seat Company"", ""daechang seat""]","[""gnem_row_66""]",company_discovery,automotive vehicles auto parts,[]
q_company_c637266c7de19e629af5b867_targeted,company_c637266c7de19e629af5b867_targeted,"""DaeChang Seat Company"" automotive vehicles auto parts tariffs cost sourcing country of origin 2026",7,,"[""automotive_and_trade""]",national_international_context,query_text_only,,Collect company-named evidence; seed product/location labels are unverified.,[],company_c637266c7de19e629af5b867,DaeChang Seat Company,"[""DaeChang Seat Company"", ""daechang seat""]","[""gnem_row_66""]",company_targeted,automotive vehicles auto parts,[]
q_company_2c4b6344bfab2e8f192bfba9_discovery,company_2c4b6344bfab2e8f192bfba9_discovery,"""Ecoplastic America Corporation"" Georgia tariffs import duties supply chain",8,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,Collect company-named evidence; seed product/location labels are unverified.,[],company_2c4b6344bfab2e8f192bfba9,Ecoplastic America Corporation,"[""Ecoplastic America Corporation"", ""ecoplastic america""]","[""gnem_row_42""]",company_discovery,automotive vehicles auto parts steel aluminum copper tariffs,[]
q_company_2c4b6344bfab2e8f192bfba9_targeted,company_2c4b6344bfab2e8f192bfba9_targeted,"""Ecoplastic America Corporation"" automotive vehicles auto parts steel aluminum copper tariffs tariffs cost sourcing country of origin 2026",9,,"[""metals""]",national_international_context,query_text_only,,Collect company-named evidence; seed product/location labels are unverified.,[],company_2c4b6344bfab2e8f192bfba9,Ecoplastic America Corporation,"[""Ecoplastic America Corporation"", ""ecoplastic america""]","[""gnem_row_42""]",company_targeted,automotive vehicles auto parts steel aluminum copper tariffs,[]
q_company_79ae9d99f72979a1c1261010_discovery,company_79ae9d99f72979a1c1261010_discovery,"""Ecoplastic Corporation"" Georgia tariffs import duties supply chain",10,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,Collect company-named evidence; seed product/location labels are unverified.,[],company_79ae9d99f72979a1c1261010,Ecoplastic Corporation,"[""Ecoplastic Corporation"", ""ecoplastic""]","[""gnem_row_51""]",company_discovery,automotive vehicles auto parts steel aluminum copper tariffs,[]
q_company_79ae9d99f72979a1c1261010_targeted,company_79ae9d99f72979a1c1261010_targeted,"""Ecoplastic Corporation"" automotive vehicles auto parts steel aluminum copper tariffs tariffs cost sourcing country of origin 2026",11,,"[""metals""]",national_international_context,query_text_only,,Collect company-named evidence; seed product/location labels are unverified.,[],company_79ae9d99f72979a1c1261010,Ecoplastic Corporation,"[""Ecoplastic Corporation"", ""ecoplastic""]","[""gnem_row_51""]",company_targeted,automotive vehicles auto parts steel aluminum copper tariffs,[]
q_company_c01c638d33df890a6b51cd0c_discovery,company_c01c638d33df890a6b51cd0c_discovery,"""Elan Technology Inc."" Georgia tariffs import duties supply chain",12,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,Collect company-named evidence; seed product/location labels are unverified.,[],company_c01c638d33df890a6b51cd0c,Elan Technology Inc.,"[""Elan Technology Inc."", ""elan technology""]","[""gnem_row_49""]",company_discovery,automotive vehicles auto parts steel aluminum copper tariffs,[]
q_company_c01c638d33df890a6b51cd0c_targeted,company_c01c638d33df890a6b51cd0c_targeted,"""Elan Technology Inc."" automotive vehicles auto parts steel aluminum copper tariffs tariffs cost sourcing country of origin 2026",13,,"[""metals""]",national_international_context,query_text_only,,Collect company-named evidence; seed product/location labels are unverified.,[],company_c01c638d33df890a6b51cd0c,Elan Technology Inc.,"[""Elan Technology Inc."", ""elan technology""]","[""gnem_row_49""]",company_targeted,automotive vehicles auto parts steel aluminum copper tariffs,[]
