Join ImportGenius to see the import/export activity of every company in the United States. Track your competitors, get freight forwarding leads, enforce exclusivity agreements, learn more about your overseas factories, and much more. Instant signup.
| # | Bill of Lading | Product | Importer | Supplier | Arrival Date | Country of Origin | Gross Weight KGS | Quantity | 
|---|---|---|---|---|---|---|---|---|
| 1 | GLXISAV26070022 | AC28 CAR ASSEMBLY LINE (JIG) | JOON GEORGIA, INC DBA AJIN GEORGIA | AJIN INDUSTRIAL CO.,LTD. | 2026-09-03 | South Korea | 149430 Kgs | 78 PKG | 
| 2 | GLXISAV26070021 | AC28 CAR ASSEMBLY LINE (INDUSTRIAL ROBOT) | JOON GEORGIA, INC DBA AJIN GEORGIA | AJIN INDUSTRIAL CO.,LTD. | 2026-09-03 | South Korea | 233272 Kgs | 104 PKG | 
| 3 | GLXILGB26080007 | SUB KD (SIMILAR ARTICLES SUITABLE FOR MOTOR VEHICLES) | JOON GEORGIA, INC DBA AJIN GEORGIA | WOOSHIN INDUSTRIAL CO.,LTD | 2026-08-28 | South Korea | 618 Kgs | 3 PKG | 
| 4 | GLXILGB26080006 | SUB KD (SIMILAR ARTICLES SUITABLE FOR MOTOR VEHICLES) | JOON GEORGIA, INC DBA AJIN GEORGIA | AJINCARINTECH INC. | 2026-08-28 | South Korea | 13063 Kgs | 43 PKG | 
| 5 | GLXILGB26080005 | SUB KD (SIMILAR ARTICLES SUITABLE FOR MOTOR VEHICLES) | JOON GEORGIA, INC DBA AJIN GEORGIA | AJIN INDUSTRIAL CO.,LTD. | 2026-08-28 | South Korea | 30253 Kgs | 87 PKG | 
| 6 | GLXILGB26080004 | NEA W PRESS MOLD | JOON GEORGIA, INC DBA AJIN GEORGIA | AJIN INDUSTRIAL CO.,LTD. | 2026-08-28 | South Korea | 30200 Kgs | 8 PKG | 
| 7 | GLXISAV26070020 | SUB KD (SIMILAR ARTICLES SUITABLE FOR MOTOR VEHICLES) | JOON GEORGIA, INC DBA AJIN GEORGIA | WOOSHIN INDUSTRIAL CO.,LTD | 2026-08-28 | South Korea | 8649 Kgs | 26 PKG | 
| 8 | GLXISAV26070019 | SUB KD (SIMILAR ARTICLES SUITABLE FOR MOTOR VEHICLES) | JOON GEORGIA, INC DBA AJIN GEORGIA | AJINCARINTECH INC. | 2026-08-28 | South Korea | 39053 Kgs | 104 PKG | 
| 9 | GLXISAV26070018 | SUB KD (SIMILAR ARTICLES SUITABLE FOR MOTOR VEHICLES) | JOON GEORGIA, INC DBA AJIN GEORGIA | AJINCARINTECH INC. | 2026-08-28 | South Korea | 45465 Kgs | 127 PKG | 
| 10 | GLXISAV26070017 | SUB KD (SIMILAR ARTICLES SUITABLE FOR MOTOR VEHICLES) | JOON GEORGIA, INC DBA AJIN GEORGIA | AJIN INDUSTRIAL CO.,LTD. | 2026-08-28 | South Korea | 26284 Kgs | 89 PKG | 
| # | Importer | Last Address | Most Recent | 
|---|---|---|---|
| # | Supplier | Last Address | Most Recent | No. of Containers | Gross Weight KGS | 
|---|---|---|---|---|---|
| 1 | AJIN INDUSTRIAL CO LTD | South Korea | 2026-09-03 | 2288 | 25469415 | 
| 2 | AJINCARINTECH INC | South Korea | 2026-08-28 | 352 | 1905511 | 
| 3 | WOOSHIN INDUSTRIAL CO LTD | South Korea | 2026-08-28 | 388 | 1468951 | 
| 4 | SHINYOUNG CO LTD | South Korea | 2025-05-20 | 16 | 131654 | 
| 5 | N/A | South Korea | 2025-08-28 | 1 | 13167 | 
| Cargo #1 |  |  | 
| Description AC28 CAR ASSEMBLY LINE (JIG) |  |  | 
| Keywords assembly line jig | HS-Code DATA UNAVAILABLE | Piece Count 4 | 
| Length 480 | Height 108 | 
| Width 96 | Load Status Loaded | 
| Seal FJ27329066 | Equipment Description CN | 
| Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space | Type of Service House to House | 
| Container Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space | Marks & Numbers AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA) | 
| Length 480 | Height 108 | 
| Width 96 | Load Status Loaded | 
| Seal FJ27329153 | Equipment Description CN | 
| Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space | Type of Service House to House | 
| Container Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space | Marks & Numbers AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA) | 
| Cargo #1 |  |  | 
| Description AC28 CAR ASSEMBLY LINE (JIG) |  |  | 
| Keywords assembly line jig | HS-Code DATA UNAVAILABLE | Piece Count 3 | 
| Length 480 | Height 108 | 
| Width 96 | Load Status Loaded | 
| Seal FJ27328777 | Equipment Description CN | 
| Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space | Type of Service House to House | 
| Container Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space | Marks & Numbers AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA) | 
| Length 480 | Height 108 | 
| Width 96 | Load Status Loaded | 
| Seal FJ27329118 | Equipment Description CN | 
| Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space | Type of Service House to House | 
| Container Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space | Marks & Numbers AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA) | 
| Length 480 | Height 108 | 
| Width 96 | Load Status Loaded | 
| Seal FJ27328761 | Equipment Description CN | 
| Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space | Type of Service House to House | 
| Container Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space | Marks & Numbers AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA) | 
| Length 480 | Height 108 | 
| Width 96 | Load Status Loaded | 
| Seal FJ27328650 | Equipment Description CN | 
| Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space | Type of Service House to House | 
| Container Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space | Marks & Numbers AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA) | 
| Length 480 | Height 108 | 
| Width 96 | Load Status Loaded | 
| Seal FJ27329151 | Equipment Description CN | 
| Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space | Type of Service House to House | 
| Container Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space,40 Foot General Purpose Container, Passive vents at upper part of cargo space | Marks & Numbers AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA),AJIN(IN DIA) | 
| Cargo #1 |  |  | 
| Description AC28 CAR ASSEMBLY LINE (JIG) |  |  | 
| Keywords assembly line jig | HS-Code DATA UNAVAILABLE | Piece Count 6 | 
| Length 480 | Height 108 | 
| Width 96 | Load Status Loaded | 
| Seal FJ27328615 | Equipment Description CN | 
| Type 40 Foot General Purpose Container, Passive vents at upper part of cargo space | Type of Service House to House | 
