query_id,original_id,original_query,input_row,duplicate_of,sectors,geography,labels_basis,parent_query_id,expansion_reason
q_1,1,Southeast Georgia EV supply chain tariffs import duties 2026,1,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_2,2,Coastal Georgia automotive suppliers tariff exposure,2,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_3,3,Southeast Georgia electric vehicle manufacturing tariff impacts,3,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_4,4,Georgia automotive supply chain tariff changes effective dates,4,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_5,5,Georgia EV manufacturers imported components tariff costs,5,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_6,6,Georgia automotive suppliers country of origin import exposure,6,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_7,7,Southeast Georgia EV supply chain tariff mitigation strategies,7,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_8,8,Georgia automotive industry tariffs investment announcements,8,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_9,9,Georgia EV supply chain tariffs production delays,9,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_10,10,Georgia automotive suppliers tariffs employment impacts,10,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_11,11,Georgia EV manufacturers tariff-related sourcing changes,11,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_12,12,Georgia automotive suppliers tariff-related price increases,12,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_13,13,Georgia EV supply chain domestic sourcing tariff avoidance,13,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_14,14,Georgia automotive manufacturing trade policy uncertainty,14,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_15,15,Southeast Georgia EV suppliers tariff exclusions eligibility,15,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_16,16,Bryan County EV manufacturing tariffs imported components,16,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_17,17,Savannah automotive supply chain import duties,17,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_18,18,Chatham County automotive suppliers tariff exposure,18,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_19,19,Effingham County EV suppliers imported materials tariffs,19,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_20,20,Bulloch County automotive suppliers tariff impacts,20,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_21,21,Liberty County automotive parts manufacturers tariffs,21,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_22,22,Glynn County automotive logistics vehicle import tariffs,22,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_23,23,Brunswick automotive imports tariffs port processing,23,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_24,24,Statesboro EV suppliers tariff-related sourcing changes,24,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_25,25,Richmond Hill automotive suppliers imported components duties,25,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_26,26,Ellabell EV manufacturing imported equipment tariffs,26,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_27,27,Southeast Georgia development authorities automotive tariff impacts,27,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_28,28,Georgia Ports Authority automotive tariffs trade volumes,28,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_29,29,Port of Savannah EV components tariff exposure,29,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_30,30,Port of Brunswick vehicle imports tariff impacts,30,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_31,31,Hyundai Motor Group Metaplant America tariffs imported components,31,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_32,32,Hyundai Metaplant Georgia tariff exposure supplier sourcing,32,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_33,33,Hyundai Georgia EV production tariffs cost impacts,33,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_34,34,Hyundai Metaplant imported machinery customs duties,34,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_35,35,Hyundai Georgia battery sourcing tariff exposure,35,,"[""batteries_and_minerals""]",statewide_georgia,query_text_only,,
q_36,36,Hyundai Georgia suppliers South Korea import duties,36,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_37,37,Hyundai Mobis Georgia EV components tariff exposure,37,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_38,38,Hyundai Glovis Georgia automotive logistics tariffs,38,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_39,39,Hyundai Transys Georgia imported automotive parts tariffs,39,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_40,40,HL Mando Georgia automotive components tariff exposure,40,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_41,41,Ecoplastic Georgia imported automotive plastics tariffs,41,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_42,42,Joon Georgia automotive components tariff exposure,42,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_43,43,Seoyon E-Hwa Georgia imported materials tariffs,43,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_44,44,Hyundai LG Energy Solution Georgia battery venture tariffs,44,,"[""batteries_and_minerals""]",statewide_georgia,query_text_only,,
q_45,45,Georgia Hyundai suppliers tariff mitigation localization,45,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_46,46,Georgia Kia supply chain tariffs Southeast Georgia connections,46,,"[""automotive_and_trade""]",southeast_georgia,query_text_only,,
q_47,47,Georgia EV suppliers China sourcing tariff exposure,47,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_48,48,Georgia EV suppliers South Korea sourcing tariff exposure,48,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_49,49,Georgia EV suppliers Mexico sourcing tariff exposure,49,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_50,50,Georgia EV suppliers Canada sourcing tariff exposure,50,,"[""automotive_and_trade""]",statewide_georgia,query_text_only,,
q_51,51,United States automobile import tariffs current rates effective dates,51,,"[""automotive_and_trade""]",national_international_context,query_text_only,,
q_52,52,United States auto parts import tariffs current rates effective dates,52,,"[""automotive_and_trade""]",national_international_context,query_text_only,,
q_53,53,Section 232 automobile tariffs covered vehicle classifications,53,,"[""automotive_and_trade""]",national_international_context,query_text_only,,
q_54,54,Section 232 automobile parts tariffs covered HTS codes,54,,"[""automotive_and_trade""]",national_international_context,query_text_only,,
q_55,55,Section 232 automobile tariffs exemptions exclusions updates,55,,"[""automotive_and_trade""]",national_international_context,query_text_only,,
q_56,56,Section 232 automotive tariffs domestic assembly import adjustment offset,56,,"[""automotive_and_trade""]",national_international_context,query_text_only,,
q_57,57,Section 232 auto parts tariffs engine transmission components,57,,"[""automotive_and_trade""]",national_international_context,query_text_only,,
q_58,58,Section 232 auto parts tariffs electric vehicle components,58,,"[""automotive_and_trade""]",national_international_context,query_text_only,,
q_59,59,Section 232 automobile tariffs foreign trade zone treatment,59,,"[""automotive_and_trade""]",national_international_context,query_text_only,,
q_60,60,Section 232 automobile tariffs duty drawback eligibility,60,,"[""automotive_and_trade""]",national_international_context,query_text_only,,
q_61,61,United States South Korea automobile tariffs trade agreement updates,61,,"[""automotive_and_trade""]",national_international_context,query_text_only,,
