aluminum products HTS codes
CURRENT HTS codes for AIM - a license will be required for each entry of these HTS codes
| Number | Product Groups (16) | HTS Code * | HTS Description | Categories (8) | 
|---|---|---|---|---|
| 1 | Unwrought, not alloyed | 7601103000 | Unwrought aluminum, not alloyed, of uniform cross section throughout its length, the least cross-sectional dimension of which is not greater than 9.5 mm, in coils | Unwrought Aluminum (7601) | 
|  |  | 7601106040 | Unwrought aluminum, not alloyed, of 99.9 percent aluminum or greater | Unwrought Aluminum (7601) | 
|  |  | 7601106045 | Unwrought aluminum, not alloyed, of greater than 99.8 percent but less than 99.9 percent | Unwrought Aluminum (7601) | 
|  |  | 7601106090 | Unwrought aluminum, not alloyed, other | Unwrought Aluminum (7601) | 
| 2 | Unwrought Alloy | 7601203000 | Unwrought aluminum alloy of uniform cross section throughout its length, the least cross-sectional dimension of which is not greater than 9.5 mm, in coils | Unwrought Aluminum (7601) | 
|  |  | 7601206000 | Unwrought aluminum alloy, containing 25% or more by weight of silicon | Unwrought Aluminum (7601) | 
|  |  | 7601209030 | Unwrought aluminum alloy, aluminum vanadium master alloy | Unwrought Aluminum (7601) | 
|  |  | 7601209045 | Other unwrought aluminum alloy, of uniform cross section throughout its length, the foregoing comprised of billets, not in coils | Unwrought Aluminum (7601) | 
|  |  | 7601209060 | Other unwrought aluminum alloy, containing 0.03 percent or more by weight of lead (secondary aluminum) | Unwrought Aluminum (7601) | 
|  |  | 7601209075 | Unwrought aluminum alloy, remelt scrap ingot | Unwrought Aluminum (7601) | 
|  |  | 7601209080 | Unwrought aluminum alloy, sheet ingot (slab) of a kind described in statistical note 3 to this chapter | Unwrought Aluminum (7601) | 
|  |  | 7601209085 | Unwrought aluminum alloy, foundry ingot of a kind described in statistical note 4 to this chapter | Unwrought Aluminum (7601) | 
|  |  | 7601209095 | Unwrought aluminum alloy, other | Unwrought Aluminum (7601) | 
| 3 | Bars, rods, and profiles, non-alloy | 7604101000 | Aluminum profiles, not alloyed | Aluminum Bars, Rods, and Profiles (7604) | 
|  |  | 7604103000 | Aluminum bars and rods, not alloyed, having a round cross section | Aluminum Bars, Rods, and Profiles (7604) | 
|  |  | 7604105000 | Aluminum bars and rods, not alloyed, other | Aluminum Bars, Rods, and Profiles (7604) | 
| 4 | Hollow profiles, alloyed | 7604210010 | Hollow profiles of aluminum alloys, of heat-treatable industrial alloys of a kind described in statistical note 6 to this chapter | Aluminum Bars, Rods, and Profiles (7604) | 
|  |  | 7604210090 | Hollow profiles of aluminum alloys, other | Aluminum Bars, Rods, and Profiles (7604) | 
| 5 | Bars, Rods, and Solid profiles, alloyed | 7604291010 | Non-hollow profiles of aluminum alloys, of heat-treatable industrial alloys of a kind described in statistical note 6 to this chapter | Aluminum Bars, Rods, and Profiles (7604) | 
|  |  | 7604291090 | Non-hollow profiles of aluminum alloys, other | Aluminum Bars, Rods, and Profiles (7604) | 
|  |  | 7604293030 | Bars and rods of aluminum alloys, having a round cross section, of high-strength heat-treatable alloys of a kind described in statistical note 5 to this chapter | Aluminum Bars, Rods, and Profiles (7604) | 
|  |  | 7604293060 | Bars and rods of aluminum alloys, having a round cross section, of heat-treatable industrial alloys of a kind described in statistical note 6 to this chapter | Aluminum Bars, Rods, and Profiles (7604) | 
|  |  | 7604293090 | Bars and rods of aluminum alloys, having a round cross section, other | Aluminum Bars, Rods, and Profiles (7604) | 
|  |  | 7604295020 | Other bars and rods of aluminum alloys, having other than a round cross section, of high-strength heat-treatable alloys of a kind described in statistical note 5 to this chapter | Aluminum Bars, Rods, and Profiles (7604) | 
|  |  | 7604295050 | Other bars and rods of aluminum alloys, having other than a round cross section, of heat-treatable industrial alloys of a kind described in statistical note 6 to this chapter | Aluminum Bars, Rods, and Profiles (7604) | 
|  |  | 7604295090 | Other bars and rods of aluminum alloys, having other than a round cross section, other | Aluminum Bars, Rods, and Profiles (7604) | 
| 6 | Redraw Rod | 7605110000 | Aluminum wire, not alloyed, of which the maximum cross-sectional dimension exceeds 7 mm | Aluminum Wire (7605) | 
|  |  | 7605210000 | Wire of aluminum alloys, of which the maximum cross-sectional dimension exceeds 7 mm | Aluminum Wire (7605) | 
| 7 | Wire | 7605190000 | Aluminum wire, not alloyed, other | Aluminum Wire (7605) | 
|  |  | 7605290000 | Wire of aluminum alloys, other | Aluminum Wire (7605) | 
| 8 | Sheet | 7606123091 | Aluminum alloys, not clad, with a thickness of 6.3 mm or less, other, of heat-treatable industrial alloys | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606123096 | Aluminum alloys, not clad, with a thickness of 6.3 mm or less, other, other | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606113060 | Rectangular (including square), of aluminum sheet, not alloyed, not clad, 6.3 mm or less in thickness | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606116000 | Rectangular (including square), of aluminum, not alloyed, clad | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606916095 | Aluminum sheets, not alloyed, clad, with a thickness of 6.3 mm or less | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606923035 | Circles and disks of aluminum alloys, not clad, with a thickness of 6.3 mm or less | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606926095 | Circles and disks of aluminum alloys, clad, with a thickness of 6.3 mm or less | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606913095 | Circles and disks of aluminum, not alloyed, not clad, with a thickness of 6.3 mm or less | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606126000 | Rectangular (including square), of aluminum alloys, clad | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
| 9 | Plate | 7606913055 | Circles and disks of aluminum, not alloyed, not clad, with a thickness more than 6.3 mm | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606123015 | Rectangular (including square), of aluminum alloys, not clad, with a thickness of more than 6.3mm, with high-strength heat-treatable alloys of a kind described in statistical note 5 to this chapter | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606123025 | Rectangular (including square), of aluminum alloys, not clad, with a thickness of more than 6.3mm, with heat-treatable industrial alloys of a kind described in statistical note 6 to this chapter | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606123035 | Rectangular (including square), of aluminum alloys, not clad, other | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606113030 | Rectangular (including square), of aluminum, not alloyed, not clad, more than 6.3 mm in thickness | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606916055 | Aluminum plates, not alloyed, clad, with a thickness more than 6.3 mm | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606923025 | Circles and disks of aluminum alloys, not clad, with a thickness more than 6.3 mm | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606926055 | Circles and disks of aluminum alloys, clad, with a thickness of more than 6.3 mm | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
| 10 | Can Stock | 7606123045 | Aluminum alloy can stock, not clad, body stock | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
|  |  | 7606123055 | Aluminum alloy can stock, not clad, lid stock | Aluminum plates, sheets, and strip, of a thickness exceeding 0.2mm (7606) | 
| 11 | Not Backed Aluminum Foil | 7607119030 | Aluminum foil can stock, not backed, rolled but not further worked, of a thickness exceeding 0.15 mm, body stock | Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm (7607) | 
|  |  | 7607119060 | Aluminum foil can stock, not backed, rolled but not further worked, of a thickness exceeding 0.15 mm, lid stock | Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm (7607) | 
|  |  | 7607116010 | Aluminum foil, not backed, rolled but not further worked, of a thickness exceeding 0.01 mm but not exceeding 0.15 mm, boxed aluminum foil weighing not more than 11.3 kg | Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm (7607) | 
|  |  | 7607116090 | Aluminum foil, not backed, rolled but not further worked, of a thickness exceeding 0.01 mm but not exceeding 0.15 mm, NESOI | Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm (7607) | 
|  |  | 7607119090 | Aluminum foil, not backed, rolled but not further worked, of a thickness exceeding 0.15 mm, NESOI | Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm (7607) | 
|  |  | 7607191000 | Not backed, etched capacitor foil | Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm (7607) | 
|  |  | 7607193000 | Aluminum foil, not backed, not etched capacitor foil, cut to shape, of a thickness not exceeding 0.15 mm | Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm (7607) | 
|  |  | 7607196000 | Aluminum foil, not backed, not etched capacitor foil, cut to shape, NESOI | Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm (7607) | 
|  |  | 7607113000 | Aluminum foil, not backed, rolled but not further worked, of a thickness not exceeding 0.01 mm | Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm (7607) | 
| 12 | Backed Aluminum Foil | 7607201000 | Aluminum foil, backed, covered or decorated with a character, design, fancy effect or pattern | Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm (7607) | 
|  |  | 7607205000 | Aluminum foil, backed, NESOI | Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm (7607) | 
| 13 | Seamless Pipe and Tube | 7608100030 | Aluminum tubes and pipes, not alloyed, seamless | Aluminum pipes and tubes (7608) | 
|  |  | 7608200030 | Aluminum tubes and pipes, alloyed, seamless | Aluminum pipes and tubes (7608) | 
| 14 | Not Seamless Pipe and Tube | 7608100090 | Aluminum tubes and pipes, not alloyed, not seamless | Aluminum pipes and tubes (7608) | 
|  |  | 7608200090 | Aluminum tubes and pipes, alloyed, not seamless | Aluminum pipes and tubes (7608) | 
| 15 | Tube or Pipe Fittings | 7609000000 | Aluminum tube or pipe fittings (for example, couplings, elbows, sleeves) | Aluminum tube or pipe fittings (7609) | 
| 16 | Castings and forgings | 7616995160 | Aluminum castings | Castings and Forgings (7616) | 
|  |  | 7616995170 | Aluminum forgings | Castings and Forgings (7616) | 
DISCONTINUED HTS codes for AIM
| Date | Product Group (1) | HTS CODE | HTS Description | Product Categories (1) | 
| July 1, 2025 | Unwrought, not alloyed | 7601106030 | Discontinued, transferred to 7601106040 and 7601106045 | Unwrought Aluminum (7601) | 
*Harmonized Tariff Schedule (HTS) of the United States consists of ten-digit codes assigned for different commodity classifications of U.S. import statistics. The HTS is administered by the U.S. International Trade Administration Commission (USITC).
