HTS Code Lookup
Find Tariff Codes by Product or Number
Search the Harmonized Tariff Schedule by entering a product name or HTS code to get duty rates, descriptions, and classification details.
Home > HTS Codes > Chapter 98 > 9801
Custom Duty Rate for HTS Code 9801 : Products of the United States when returned after having been exported, or any other products when returned within 3 years after having been exported, without having been advanced in value or improved in condition by any process of manufacture or other means while abroad
| Heading/Subheading | Article Description | Unit of Quantity | Rates of Duty |  |  | 
|---|---|---|---|---|---|
|  |  |  | 1 |  | 2 | 
|  |  |  | General | Special |  | 
| 9801.00 | Products of the united states when returned after having been exported, or any other products when returned within 3 years after having been exported, without having been advanced in value or improved in condition by any process of manufacture or other means while abroad |  |  |  |  | 
| 9801.00.10 | Products of the united states when returned after having been exported, or any other products when returned within 3 years after having been exported, without having been advanced in value or improved in condition by any process of manufacture or other means while abroad |  | Free |  |  | 
| 9801.00.10.10 | Products of the united states or other products returned within 3 years without advancement in value previously exported with intent to reimport after temporary use abroad | kg |  |  |  | 
| 9801.00.10.12 | Products of the united states or other products returned within 3 years without advancement in value, returned temporarily for repair, alteration, or processing to be reexported |  |  |  |  | 
| 9801.00.10.15 | Meat and poultry products provided for in chapter 2 or 16, being products of the united states or other products returned within 3 years without advancement in value | kg |  |  |  | 
| 9801.00.10.26 | Peanuts provided for in heading 1202, being products of the united states or other products returned within 3 years without advancement in value | kg |  |  |  | 
| 9801.00.10.27 | Articles provided for in chapter 28, being products of the united states or other products returned within 3 years without advancement in value | kg |  |  |  | 
| 9801.00.10.28 | Articles provided for in chapter 30, being products of the united states or other products returned within 3 years without advancement in value | kg |  |  |  | 
| 9801.00.10.29 | Articles provided for in chapter 37, being products of the united states or other products returned within 3 years without advancement in value | m2 |  |  |  | 
| 9801.00.10.30 | Articles provided for in chapter 71, being products of the united states or other products returned within 3 years without advancement in value |  |  |  |  | 
| 9801.00.10.31 | Articles provided for in chapter 82, being products of the united states or other products returned within 3 years without advancement in value |  |  |  |  | 
| 9801.00.10.35 | Articles provided for in headings 8407.10, 8409.10, 8411, or 8412.10, being products of the united states or other products returned within 3 years without advancement in value | No. and kg |  |  |  | 
| 9801.00.10.37 | Articles provided for in headings 8419, 8424, 8429, 8431, 8432, 8433, 8434, or 8436, being products of the united states or other products returned within 3 years without advancement in value | No. |  |  |  | 
| 9801.00.10.43 | Articles provided for in headings 8470, 8471, 8472, or 8473, being products of the united states or other products returned within 3 years without advancement in value | No. |  |  |  | 
| 9801.00.10.45 | Articles provided for in chapter 84 not elsewhere specified, being products of the united states or other products returned within 3 years without advancement in value |  |  |  |  | 
| 9801.00.10.49 | Articles provided for in headings 8501, 8502, or 8503, being products of the united states or other products returned within 3 years without advancement in value | No. |  |  |  | 
| 9801.00.10.51 | Articles provided for in heading 8504, being products of the united states or other products returned within 3 years without advancement in value | No. |  |  |  | 
| 9801.00.10.53 | Articles provided for in headings 8517, 8519, 8525, 8527, or 8529, being products of the united states or other products returned within 3 years without advancement in value | No. |  |  |  | 
| 9801.00.10.55 | Articles provided for in chapter 85 not elsewhere specified, being products of the united states or other products returned within 3 years without advancement in value |  |  |  |  | 
| 9801.00.10.59 | Articles provided for in chapter 86, being products of the united states or other products returned within 3 years without advancement in value | No. |  |  |  | 
| 9801.00.10.63 | Articles provided for in heading 8701, being products of the united states or other products returned within 3 years without advancement in value | No. |  |  |  | 
| 9801.00.10.64 | Articles provided for in heading 8702, being products of the united states or other products returned within 3 years without advancement in value | No. |  |  |  | 
| 9801.00.10.65 | Articles provided for in heading 8703, being products of the united states or other products returned within 3 years without advancement in value | No. |  |  |  | 
