Keepeek
              | HTS | COO | Ad Valorum | Section 301 | IEEPA Fentanyl | Reciprocal | Section 232 | Total Duty | 
| 6110.30.3059 | China | 32% | 7.5% | 20% | 125% | N/A | 184.5% | 
| 7307.91.5050 | China | 5.5% | 25% | 20% | N/A covered by the IEEPA exception. See exceptions above. | 25% | 75.5% | 
| 7307.91.5050 | Canada | 5.5% | N/A | 25% USMCA does not apply. | N/A covered by the IEEPA exception. See exceptions above. | N/A | 30.5% | 
| 7307.91.5050 | Canada | 5.5% | N/A | N/A USMCA applies. | N/A covered by the IEEPA exception. See exceptions above. | N/A | 0% | 
| 7307.91.5050 | India | 5.5% | N/A | N/A | 10% | N/A | 15.5% | 
| 4202.92.4500 | China | 20% | 25% | 20% | 125% | N/A | 190% | 
| Loaded onto a Vessel at Port of Loading and In Transit on Final Mode of Transit to US | Entered for Consumption or Withdrawn from Warehouse | Reciprocal IEEPA Tariff | 
| Prior to April 5, 2025 | After April 5, 2025 | Not subject to additional duties | 
| On or after April 5, 2025 | On or after April 5, 2025 but before April 9, 2025 | 10% | 
| Prior to April 5, 2025 | On or after April 9, 2025 | Rates set forth in Annex I | 
| On or after April 5, 2025 but before April 9, 2025 | On or after April 5, 2025 but before April 9, 2025 | 10% | 
| Prior to April 9, 2025 | After April 9, 2025 | 10% | 
| On or after April 9, 2025 | On or after April 9, 2025 | Rates set forth in Annex I | 
| Country | Tariffs and Trade Barriers Charged to the U.S.A. | Reciprocal Tariffs | 
| China | 67% | 34% | 
| European Union | 39% | 20% | 
| Vietnam | 90% | 46% | 
| Taiwan | 64% | 32% | 
| Japan | 46% | 24% | 
| India | 52% | 26% | 
| South Korea | 50% | 25% | 
| Thailand | 72% | 36% | 
| Switzerland | 61% | 31% | 
| Indonesia | 64% | 32% | 
| Malaysia | 47% | 24% | 
| Cambodia | 97% | 49% | 
| United Kingdom | 10% | 10% | 
| South Africa | 60% | 30% | 
| Brazil | 10% | 10% | 
| Bangladesh | 74% | 37% | 
| Singapore | 10% | 10% | 
| Israel | 33% | 17% | 
| Philippines | 34% | 17% | 
| Chile | 10% | 10% | 
| Australia | 10% | 10% | 
| Pakistan | 58% | 29% | 
| Turkey | 10% | 10% | 
| Sri Lanka | 88% | 44% | 
| Colombia | 10% | 10% | 
| Algeria | 59% | 30% | 
| Oman | 10% | 10% | 
| Uruguay | 10% | 10% | 
| Bahamas | 10% | 10% | 
| Lesotho | 99% | 50% | 
| Ukraine | 10% | 10% | 
| Bahrain | 10% | 10% | 
| Qatar | 10% | 10% | 
| Mauritius | 80% | 40% | 
| Fiji | 63% | 32% | 
| Iceland | 10% | 10% | 
| Kenya | 10% | 10% | 
| Liechtenstein | 73% | 37% | 
| Guyana | 76% | 38% | 
| Haiti | 10% | 10% | 
| Bosnia and Herzegovina | 70% | 35% | 
| Nigeria | 27% | 14% | 
| Namibia | 42% | 21% | 
| Brunei | 47% | 24% | 
| Bolivia | 20% | 10% | 
| Panama | 20% | 10% | 
| Venezuela | 29% | 15% | 
| North Macedonia | 65% | 33% | 
| Ethiopia | 10% | 10% | 
| Ghana | 17% | 10% | 
| Peru | 10% | 10% | 
| Nicaragua | 36% | 18% | 
| Norway | 30% | 15% | 
| Costa Rica | 17% | 10% | 
| Jordan | 40% | 20% | 
| Dominican Republic | 10% | 10% | 
| United Arab Emirates | 10% | 10% | 
| New Zealand | 20% | 10% | 
| Argentina | 10% | 10% | 
| Ecuador | 12% | 10% | 
| Guatemala | 10% | 10% | 
| Honduras | 10% | 10% | 
| Madagascar | 93% | 47% | 
| Myanmar (Burma) | 88% | 44% | 
| Tunisia | 55% | 28% | 
| Kazakhstan | 54% | 27% | 
| Serbia | 74% | 37% | 
| Egypt | 10% | 10% | 
| Saudi Arabia | 10% | 10% | 
| El Salvador | 10% | 10% | 
| Côte d'Ivoire | 41% | 21% | 
| Laos | 95% | 48% | 
| Botswana | 74% | 37% | 
| Trinidad and Tobago | 12% | 10% | 
| Morocco | 10% | 10% | 
| Moldova | 61% | 31% | 
| Angola | 63% | 32% | 
| Democratic Republic of the Congo | 22% | 11% | 
| Jamaica | 10% | 10% | 
| Mozambique | 31% | 16% | 
| Paraguay | 10% | 10% | 
| Zambia | 33% | 17% | 
| Lebanon | 10% | 10% | 
| Tanzania | 10% | 10% | 
| Iraq | 78% | 39% | 
| Georgia | 10% | 10% | 
| Senegal | 10% | 10% | 
| Azerbaijan | 10% | 10% | 
| Cameroon | 22% | 11% | 
| Uganda | 20% | 10% | 
| Albania | 10% | 10% | 
| Armenia | 10% | 10% | 
| Nepal | 10% | 10% | 
| Sint Maarten | 10% | 10% | 
| Falkland Islands | 82% | 41% | 
| Gabon | 10% | 10% | 
| Kuwait | 10% | 10% | 
| Togo | 10% | 10% | 
| Suriname | 10% | 10% | 
| Belize | 10% | 10% |
