work_id,doi,field,value,unit,raw,evidence_level,status,quote,locator,checks
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,reference,Zhaoxin Cao et al. (2024). Preparation of carvacrol β-cyclodextrin inclusions and 1-methylcyclopropene-α-CD coated paper by water-free method for postharvest preservation of peach.,,,metadata_only,grounded_verbatim,,api,
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,doi,10.21203/rs.3.rs-4251760/v1,,,metadata_only,grounded_verbatim,,api,
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,pub_type,original_research,,,metadata_only,grounded_verbatim,,api,
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,substrate_polymer,filter paper,,filter paper,full_text_verified,grounded_verbatim,r on the postharvest pathogenic peach fungus M.fructicola. The preservation effects were evaluated by measuring fruit quality indexes and defense-related enzyme activities. The results indicated that Carvacrol-β-CD ICs and PEG + Carvacrol-β-CD ICs could effectively inhibit,methods,quote_derived_from_value;substring
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,mcp_carrier,α-cyclodextrin,,α-cyclodextrin,full_text_verified,grounded_verbatim,1-MCP-α-CD inclusion complexes (ICs),abstract,quote_exact;token_overlap:2/2
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,antimicrobial,carvacrol,,carvacrol,full_text_verified,grounded_verbatim,Carvacrol essential oil has broad-spectrum antibacterial properties,abstract,quote_exact;substring
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,prep_method,coating,,coating,full_text_verified,grounded_controlled,"and environmental friendly storage and preservation method which can effectively maintain the post-harvest quality of the fruit (Cao et al., 2022). Carvacrol is the main component of oregano and thyme essential oils, which has high antimicrobial and antioxidant activ",methods,quote_derived_from_value;enum_clamped
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,manufacturing_temp_c,45,°C,45,full_text_verified,grounded_numeric,se values of single-factor experiments (Supplementary Figure.S2). A Box-Behnken design was performed using Design-Expert 8.0.6 software to analyze the in,methods,quote_repaired;number_found;unit_match;context_ok
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,trigger_mechanism,humidity_moisture,,humidity_moisture,full_text_verified,grounded_controlled,humidity has a greater effect on the release rate,results,quote_exact;enum_clamped
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,rh_conditions_pct,"30, 98",%,"30, 98",full_text_verified,grounded_numeric,"he carvacrol molecules in the inclusion complex, which led to a larger pore size and increased permeability of the β-CD structure, thus accelerating the r",results,quote_repaired;number_found;context_reject;number_found;context_reject;number_found;context_reject;number_found;context_ok
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,storage_temp_c,"4, 25, 45",°C,"4, 25, 45",full_text_verified,grounded_numeric,according to the method of 2.4 Determination of encapsulation rate. 2.7 Cytotoxicity Studies,results,quote_repaired;number_found;context_reject;number_found;context_reject;number_found;context_reject;number_found;context_reject;number_found;context_reject;number_found;context_ok
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,mcp_loading,,,,not_stated,not_stated,,not stated,
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,release_method,gravimetric,,gravimetric,full_text_verified,grounded_controlled,"Determination of encapsulation rate. 2.7 Cytotoxicity Studies The in vitro cytotoxicity of Carvacrol, Blank-PEG, Carvacrol-β-CD ICs and PEG + Carvacrol-β-CD ICs on mouse fibroblasts L929 cell was investigated by CCK-8 assay. All samples were diluted to concentrat",methods,quote_repaired;enum_clamped
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,release_duration,8,days,8,full_text_verified,grounded_numeric,"days 0, 2, 4, 6 and 8",methods,quote_exact;number_found;unit_match;context_reject;number_found;unit_match;context_reject;number_found;unit_match;context_ok
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,kinetic_model,,,,not_stated,not_stated,,not stated,
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,release_result,"92%, 88%, 73%",,"92%, 88%, 73%",full_text_verified,grounded_verbatim,mprove the thermal stability of 1-MCP-α-CD powder. 3.4 Effect of temperature and humidity on the inclusions The effect of temperature and humidity on the release o,results,quote_repaired;token_overlap:3/3
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,produce_tested,peach,,peach,full_text_verified,grounded_verbatim,postharvest preservation quality of peach,abstract,quote_exact;substring
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,package_vol_mass,6.9 L; 1200 ± 50 g,L; g,6.9 L; 1200 ± 50 g,full_text_verified,grounded_numeric,W2. The weight loss rate was calculated according to the following formula (4): W2 − W1 Weightlossrat,methods,quote_repaired;number_found;unit_match;context_ok
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,quality_outcomes,"decay index, weight loss rate, hardness, total soluble solid (TSS), L* and a*",,"decay index, weight loss rate, hardness, total soluble solid (TSS), L* and a*",full_text_verified,grounded_verbatim,"yethylene glycol (PEG-600; PEG-8000) were purchased from Aladdin Reagent (Shanghai, China) Co. 1-MCP-α-CD was purchased from Xianyang Xiqin Biotechnology Co (Shaan Xi, China). M. fructicola was isolated f",introduction,quote_repaired;token_prefix
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,mechanical_props,,,,not_stated,not_stated,,,
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,barrier_props,,,,not_stated,not_stated,,,
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,antimicrobial_outcomes,inhibition of M. fructicola mycelial growth,,inhibition of M. fructicola mycelial growth,full_text_verified,grounded_verbatim,"reased (López-Nicolás et al., 2013). There was no significant (p>0.05) difference in mycelial growth diameter between the added mass of 0.4 g and 0.5 g of β-CD at days 4, 5 and 6. The growth of M.fructicola added with Carvacrol-β-CD ICs was significantly inhibit",results,quote_repaired;token_overlap:4/4
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,limitations,,,,not_stated,not_stated,,not stated,
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,scaleup_relevance,low,,low,full_text_verified,inference_from_quote,"PEG was used to form the film in the anhydrous condition with the inclusion compound and ethylene inhibitor 1-methylcyclopropene (1-MCP) to obtain the film coated paper, and its effect on postharvest preservation quality of peach was studied.",abstract,quote_exact;no_new_numbers
doi:10.21203/rs.3.rs-4251760/v1,10.21203/rs.3.rs-4251760/v1,concept_relevance,core,,core,full_text_verified,inference_from_quote,This study provides a solution for the preparation of controlled-release coated paper with essential oils and 1-MCP bioactives to extend the shelf life of fruits and vegetables.,abstract,quote_exact;no_new_numbers
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,reference,"Aaruba Maqbool et al. (2024). Studies on extending the shelf life of golden delicious apples through the application of 1-methylcyclopropene (1-MCP) and KMnO4 and using various packaging materials. International Journal of Advanced Biochemistry Research, 8, 627-634.",,,metadata_only,grounded_verbatim,,api,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,doi,10.33545/26174693.2024.v8.i6h.1390,,,metadata_only,grounded_verbatim,,api,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,pub_type,original_research,,,metadata_only,grounded_verbatim,,api,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,substrate_polymer,polymeric film,,polymeric film,full_text_verified,grounded_verbatim,polymeric film,introduction,quote_exact;substring
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,mcp_carrier,SmartFresh cards,,SmartFresh cards,full_text_verified,grounded_verbatim,"ric fruits like apples, prepared by dissolving 4 g of KI in 400 ml of distilled where controlling ethylene p",methods,quote_repaired;substring
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,antimicrobial,,,,not_stated,not_stated,,,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,prep_method,,,,not_stated,not_stated,,,
