family_id,pub_number,field,value,evidence_level,status,quote,checks
fam:a77a8493e179,US9642356B2,family_id,fam:a77a8493e179,metadata_only,grounded_verbatim,,
fam:a77a8493e179,US9642356B2,title,"Maturation or ripening inhibitor release from polymer, fiber, film, sheet or packaging",metadata_only,grounded_verbatim,,
fam:a77a8493e179,US9642356B2,priority_date,2009-12-14,metadata_only,grounded_verbatim,,
fam:a77a8493e179,US9642356B2,publication_date,2017-05-09,metadata_only,grounded_verbatim,,
fam:a77a8493e179,US9642356B2,assignee,Verdant Technologies LLC,metadata_only,grounded_verbatim,,
fam:a77a8493e179,US9642356B2,inventors,"['Willard E. Wood', 'Neil J. Beaverson', 'William J. Kuduk']",metadata_only,grounded_verbatim,,
fam:a77a8493e179,US9642356B2,jurisdictions,"['US', 'EP', 'JP', 'KR', 'CN', 'AU', 'BR', 'CA', 'ES', 'MX', 'RU', 'WO']",metadata_only,grounded_verbatim,,
fam:a77a8493e179,US9642356B2,family_members_seen,"US9642356B2, WO2011081877A1",metadata_only,grounded_verbatim,,
fam:a77a8493e179,US9642356B2,independent_claim_gist,"A controlled release composition comprising a cyclodextrin modified thermoplastic polymer with a covalently bonded cyclodextrin moiety, and 1-methylcyclopropene complexed with the cyclodextrin moiety, formed by contacting the polymer with gaseous 1-MCP under specific pressure, temperature, and moisture conditions.",full_text_verified,inference_from_quote,"1. A controlled release composition comprising: a cyclodextrin modified thermoplastic polymer comprising a cyclodextrin moiety covalently bonded to a thermoplastic polymer; and 1-methylcyclopropene complexed with the cyclodextrin moiety, wherein the controlled release composition is formed by contacting the cyclodextrin modified thermoplastic polymer comprising less than 800 ppm of water with gaseous 1-methylcyclopropene wherein the contacting is at a molar ratio of about 0.5 moles to about 10 moles of 1-methylcyclopropene per mole of the cyclodextrin moiety, in an enclosed space, at a pressure of about 1 atmosphere to about 15 atmospheres, and at a temperature of about 0° C. to 100° C.",quote_exact;no_new_numbers
fam:a77a8493e179,US9642356B2,packaging_format,"film, fiber, woven or nonwoven fabric, sheet, rigid or semi-rigid packaging material, package insert",full_text_verified,grounded_verbatim,"A further aspect of the invention is a film, a fiber, a sheet, a rigid or a semi-rigid packaging material, a woven or non-woven fabric manufactured from a polymer composition of the invention.",quote_exact;token_overlap:13/13
fam:a77a8493e179,US9642356B2,mcp_carrier,cyclodextrin,full_text_verified,grounded_verbatim,1-methylcyclopropene complexed with the cyclodextrin moiety,quote_exact;substring
fam:a77a8493e179,US9642356B2,release_trigger,humidity_moisture,full_text_verified,grounded_controlled,the inhibitor material is also released from the packaging by exposing the packaging to a controlled level of humidity.,quote_exact;enum_clamped
fam:a77a8493e179,US9642356B2,release_control,Humidity-responsive desorption from cyclodextrin inclusion complex within the polymer matrix; moisture contact increases to trigger release proportional to relative humidity in the enclosed package volume.,full_text_verified,grounded_verbatim,We have found that the inhibitor olefin can be controllably released from the polymer compositions of the invention by carefully maintaining a specific humidity within the packaging material such that the level of humidity is proportional to the amount of ethylene inhibitor released by the polymer materials in the packaging structures or in the method of the packaging.,quote_exact;token_overlap:20/23
fam:a77a8493e179,US9642356B2,antimicrobial_component,,not_stated,not_stated,,
fam:a77a8493e179,US9642356B2,manufacturing_method,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:a77a8493e179,US9642356B2,claim_limitations,"Cyclodextrin moiety covalently bonded to thermoplastic polymer; 1-MCP complexed with cyclodextrin; formed by contacting polymer (<800 ppm water) with gaseous 1-MCP at molar ratio of about 0.5 to 10 moles inhibitor per mole cyclodextrin, in enclosed space at 1-15 atm pressure and 0°C to 100°C temperature.",full_text_verified,inference_from_quote,"comprising a cyclodextrin moiety covalently bonded to a thermoplastic polymer; and 1-methylcyclopropene complexed with the cyclodextrin moiety, wherein the controlled release composition is formed by contacting the cyclodextrin modified thermoplastic polymer comprising less than 800 ppm of water with gaseous 1-methylcyclopropene wherein the contacting is at a molar ratio of about 0.5 moles to about 10 moles of 1-methylcyclopropene per mole of the cyclodextrin moiety, in an enclosed space, at a pressure of about 1 atmosphere to about 15 atmospheres, and at a temperature of about 0° C. to 100° C.",quote_exact;no_new_numbers
fam:a77a8493e179,US9642356B2,overlap_with_concept,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:a77a8493e179,US9642356B2,design_around,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:a77a8493e179,US9642356B2,uncertainty,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:19e97c0cd4cb,US9381163B2,family_id,fam:19e97c0cd4cb,metadata_only,grounded_verbatim,,
fam:19e97c0cd4cb,US9381163B2,title,Floating capsules encapsulating particles loaded with one or more drugs,metadata_only,grounded_verbatim,,
fam:19e97c0cd4cb,US9381163B2,priority_date,2012-08-16,metadata_only,grounded_verbatim,,
fam:19e97c0cd4cb,US9381163B2,publication_date,2016-07-05,metadata_only,grounded_verbatim,,
fam:19e97c0cd4cb,US9381163B2,assignee,"NANYANG TECHNOLOGICAL UNIVERSITY, SINGAPORE",metadata_only,grounded_verbatim,,
fam:19e97c0cd4cb,US9381163B2,inventors,"LOO, SAY CHYE JOACHIM; LEE, WEI LI; WEE, PEIXIN",metadata_only,grounded_verbatim,,
